PATH,BUSINESS_OBJECT,COLUMN_ID,DISPLAY_ORDER,DISPLAYED_PATH,DISPLAYED_BUSINESS_OBJECT,DISPLAYED_COLUMN_ID
Item.Material_Group,Material_Group,MATERIAL_GROUP_ID,2,Item.Material_Group,Material_Group,MATERIAL_GROUP_DESCRIPTION
Item.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID,1,Item.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID
Item.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID,2,Item.Overhead_Group.Plant,Plant,PLANT_ID
Item.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID,3,Item.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_DESCRIPTION
Item.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID,1,Item.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID
Item.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID,2,Item.Valuation_Class,Valuation_Class,VALUATION_CLASS_DESCRIPTION
Item.Price_Source,Price_Source,PRICE_SOURCE_ID,1,Item.Price_Source,Price_Source,PRICE_SOURCE_ID
Item.Price_Source,Price_Source,PRICE_SOURCE_ID,2,Item.Price_Source,Price_Source,PRICE_SOURCE_DESCRIPTION
Calculation_Version.Customer,Customer,CUSTOMER_ID,1,Calculation_Version.Customer,Customer,CUSTOMER_ID
Calculation_Version.Customer,Customer,CUSTOMER_ID,2,Calculation_Version.Customer,Customer,CUSTOMER_NAME
Activity_Type.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Activity_Type.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Activity_Type.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Activity_Type.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Company_Code.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Company_Code.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Company_Code.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Company_Code.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Cost_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Cost_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Cost_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Cost_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Profit_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Profit_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Profit_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Profit_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Process.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Process.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Process.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Process.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Component_Split.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Component_Split.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Component_Split.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Component_Split.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Account_Group.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Account_Group.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Account_Group.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Account_Group.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Costing_Sheet.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Costing_Sheet.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Costing_Sheet.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Costing_Sheet.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Account.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Account.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Account.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Account.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Material_Account_Determination.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Material_Account_Determination.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Material_Account_Determination.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Material_Account_Determination.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Activity_Type.Account,Account,ACCOUNT_ID,1,Activity_Type.Account,Account,ACCOUNT_ID
Activity_Type.Account,Account,ACCOUNT_ID,2,Activity_Type.Account.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Activity_Type.Account,Account,ACCOUNT_ID,3,Activity_Type.Account,Account,ACCOUNT_DESCRIPTION
Process.Account,Account,ACCOUNT_ID,1,Process.Account,Account,ACCOUNT_ID
Process.Account,Account,ACCOUNT_ID,2,Process.Account.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Process.Account,Account,ACCOUNT_ID,3,Process.Account,Account,ACCOUNT_DESCRIPTION
Material_Account_Determination.Account,Account,ACCOUNT_ID,1,Material_Account_Determination.Account,Account,ACCOUNT_ID
Material_Account_Determination.Account,Account,ACCOUNT_ID,2,Material_Account_Determination.Account.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Material_Account_Determination.Account,Account,ACCOUNT_ID,3,Material_Account_Determination.Account,Account,ACCOUNT_DESCRIPTION
Material.Material_Group,Material_Group,MATERIAL_GROUP_ID,1,Material.Material_Group,Material_Group,MATERIAL_GROUP_ID
Material.Material_Group,Material_Group,MATERIAL_GROUP_ID,2,Material.Material_Group,Material_Group,MATERIAL_GROUP_DESCRIPTION
Material.Material_Type,Material_Type,MATERIAL_TYPE_ID,1,Material.Material_Type,Material_Type,MATERIAL_TYPE_ID
Material.Material_Type,Material_Type,MATERIAL_TYPE_ID,2,Material.Material_Type,Material_Type,MATERIAL_TYPE_DESCRIPTION
Material_Plant.Material,Material,MATERIAL_ID,1,Material_Plant.Material,Material,MATERIAL_ID
Material_Plant.Material,Material,MATERIAL_ID,2,Material_Plant.Material,Material,MATERIAL_DESCRIPTION
Material_Plant.Plant,Plant,PLANT_ID,1,Material_Plant.Plant,Plant,PLANT_ID
Material_Plant.Plant,Plant,PLANT_ID,2,Material_Plant.Plant,Plant,PLANT_DESCRIPTION
Material_Plant.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID,1,Material_Plant.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID
Material_Plant.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID,2,Material_Plant.Overhead_Group.Plant,Plant,PLANT_ID
Material_Plant.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID,3,Material_Plant.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_DESCRIPTION
Material_Plant.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID,1,Material_Plant.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID
Material_Plant.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID,2,Material_Plant.Valuation_Class,Valuation_Class,VALUATION_CLASS_DESCRIPTION
Material_Price.Price_Source,Price_Source,PRICE_SOURCE_ID,1,Material_Price.Price_Source,Price_Source,PRICE_SOURCE_ID
Material_Price.Price_Source,Price_Source,PRICE_SOURCE_ID,2,Material_Price.Price_Source,Price_Source,PRICE_SOURCE_DESCRIPTION
Material_Price.Material,Material,MATERIAL_ID,1,Material_Price.Material,Material,MATERIAL_ID
Material_Price.Material,Material,MATERIAL_ID,2,Material_Price.Material,Material,MATERIAL_DESCRIPTION
Material_Price.Plant,Plant,PLANT_ID,1,Material_Price.Plant,Plant,PLANT_ID
Material_Price.Plant,Plant,PLANT_ID,2,Material_Price.Plant,Plant,PLANT_DESCRIPTION
Plant.Company_Code,Company_Code,COMPANY_CODE_ID,1,Plant.Company_Code,Company_Code,COMPANY_CODE_ID
Plant.Company_Code,Company_Code,COMPANY_CODE_ID,2,Plant.Company_Code,Company_Code,COMPANY_CODE_DESCRIPTION
Material_Account_Determination.Plant,Plant,PLANT_ID,1,Material_Account_Determination.Plant,Plant,PLANT_ID
Material_Account_Determination.Plant,Plant,PLANT_ID,2,Material_Account_Determination.Plant,Plant,PLANT_DESCRIPTION
Material_Account_Determination.Material_Type,Material_Type,MATERIAL_TYPE_ID,1,Material_Account_Determination.Material_Type,Material_Type,MATERIAL_TYPE_ID
Material_Account_Determination.Material_Type,Material_Type,MATERIAL_TYPE_ID,2,Material_Account_Determination.Material_Type,Material_Type,MATERIAL_TYPE_DESCRIPTION
Material_Account_Determination.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID,1,Material_Account_Determination.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID
Material_Account_Determination.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID,2,Material_Account_Determination.Valuation_Class,Valuation_Class,VALUATION_CLASS_DESCRIPTION
Overhead_Group.Plant,Plant,PLANT_ID,1,Overhead_Group.Plant,Plant,PLANT_ID
Overhead_Group.Plant,Plant,PLANT_ID,2,Overhead_Group.Plant,Plant,PLANT_DESCRIPTION
Unit_Of_Measure.Dimension,Dimension,DIMENSION_ID,1,Unit_Of_Measure.Dimension,Dimension,DIMENSION_ID
Unit_Of_Measure.Dimension,Dimension,DIMENSION_ID,2,Unit_Of_Measure.Dimension,Dimension,DIMENSION_DESCRIPTION
Overhead.Company_Code,Company_Code,COMPANY_CODE_ID,1,Overhead.Company_Code,Company_Code,COMPANY_CODE_ID
Overhead.Company_Code,Company_Code,COMPANY_CODE_ID,2,Overhead.Company_Code.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Overhead.Company_Code,Company_Code,COMPANY_CODE_ID,3,Overhead.Company_Code,Company_Code,COMPANY_CODE_DESCRIPTION
Overhead.Plant,Plant,PLANT_ID,1,Overhead.Plant,Plant,PLANT_ID
Overhead.Plant,Plant,PLANT_ID,2,Overhead.Plant.Company_Code,Company_Code,COMPANY_CODE_ID
Overhead.Plant,Plant,PLANT_ID,3,Overhead.Plant,Plant,PLANT_DESCRIPTION
Overhead.Business_Area,Business_Area,BUSINESS_AREA_ID,1,Overhead.Business_Area,Business_Area,BUSINESS_AREA_ID
Overhead.Business_Area,Business_Area,BUSINESS_AREA_ID,2,Overhead.Business_Area,Business_Area,BUSINESS_AREA_DESCRIPTION
Overhead.Profit_Center,Profit_Center,PROFIT_CENTER_ID,1,Overhead.Profit_Center,Profit_Center,PROFIT_CENTER_ID
Overhead.Profit_Center,Profit_Center,PROFIT_CENTER_ID,2,Overhead.Profit_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Overhead.Profit_Center,Profit_Center,PROFIT_CENTER_ID,3,Overhead.Profit_Center,Profit_Center,PROFIT_CENTER_DESCRIPTION
Overhead.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID,1,Overhead.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID
Overhead.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID,2,Overhead.Overhead_Group.Plant,Plant,PLANT_ID
Overhead.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_ID,3,Overhead.Overhead_Group,Overhead_Group,OVERHEAD_GROUP_DESCRIPTION
Overhead.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID,1,Overhead.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID
Overhead.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID,2,Overhead.Activity_Type.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Overhead.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID,3,Overhead.Activity_Type,Activity_Type,ACTIVITY_TYPE_DESCRIPTION
Overhead.Cost_Center,Cost_Center,COST_CENTER_ID,1,Overhead.Cost_Center,Cost_Center,COST_CENTER_ID
Overhead.Cost_Center,Cost_Center,COST_CENTER_ID,2,Overhead.Cost_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Overhead.Cost_Center,Cost_Center,COST_CENTER_ID,3,Overhead.Cost_Center,Cost_Center,COST_CENTER_DESCRIPTION
Overhead.Work_Center,Work_Center,WORK_CENTER_ID,1,Overhead.Work_Center,Work_Center,WORK_CENTER_ID
Overhead.Work_Center,Work_Center,WORK_CENTER_ID,2,Overhead.Work_Center.Plant,Plant,PLANT_ID
Overhead.Work_Center,Work_Center,WORK_CENTER_ID,3,Overhead.Work_Center,Work_Center,WORK_CENTER_DESCRIPTION
Project.Profit_Center,Profit_Center,PROFIT_CENTER_ID,1,Project.Profit_Center,Profit_Center,PROFIT_CENTER_ID
Project.Profit_Center,Profit_Center,PROFIT_CENTER_ID,2,Project.Profit_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Project.Profit_Center,Profit_Center,PROFIT_CENTER_ID,3,Project.Profit_Center,Profit_Center,PROFIT_CENTER_DESCRIPTION
Project.Company_Code,Company_Code,COMPANY_CODE_ID,1,Project.Company_Code,Company_Code,COMPANY_CODE_ID
Project.Company_Code,Company_Code,COMPANY_CODE_ID,2,Project.Company_Code,Company_Code,COMPANY_CODE_DESCRIPTION
Project.Plant,Plant,PLANT_ID,1,Project.Plant,Plant,PLANT_ID
Project.Plant,Plant,PLANT_ID,2,Project.Plant,Plant,PLANT_DESCRIPTION
Project.Customer,Customer,CUSTOMER_ID,1,Project.Customer,Customer,CUSTOMER_ID
Project.Customer,Customer,CUSTOMER_ID,2,Project.Customer,Customer,CUSTOMER_NAME
Project.Business_Area,Business_Area,BUSINESS_AREA_ID,1,Project.Business_Area,Business_Area,BUSINESS_AREA_ID
Project.Business_Area,Business_Area,BUSINESS_AREA_ID,2,Project.Business_Area,Business_Area,BUSINESS_AREA_DESCRIPTION
Project.Costing_Sheet,Costing_Sheet,COSTING_SHEET_ID,1,Project.Costing_Sheet,Costing_Sheet,COSTING_SHEET_ID
Project.Costing_Sheet,Costing_Sheet,COSTING_SHEET_ID,2,Project.Costing_Sheet,Costing_Sheet,COSTING_SHEET_DESCRIPTION
Project.Component_Split,Component_Split,COMPONENT_SPLIT_ID,1,Project.Component_Split,Component_Split,COMPONENT_SPLIT_ID
Project.Component_Split,Component_Split,COMPONENT_SPLIT_ID,2,Project.Component_Split,Component_Split,COMPONENT_SPLIT_DESCRIPTION
Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Project,Project,PROJECT_ID,1,Project,Project,PROJECT_ID
Project,Project,PROJECT_ID,2,Project,Project,PROJECT_NAME
Project,Project,PROJECT_ID,3,Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Activity_Price.Price_Source,Price_Source,PRICE_SOURCE_ID,1,Activity_Price.Price_Source,Price_Source,PRICE_SOURCE_ID
Activity_Price.Price_Source,Price_Source,PRICE_SOURCE_ID,2,Activity_Price.Price_Source,Price_Source,PRICE_SOURCE_DESCRIPTION
Activity_Price.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Activity_Price.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Activity_Price.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Activity_Price.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Activity_Price.Cost_Center,Cost_Center,COST_CENTER_ID,1,Activity_Price.Cost_Center,Cost_Center,COST_CENTER_ID
Activity_Price.Cost_Center,Cost_Center,COST_CENTER_ID,2,Activity_Price.Cost_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Activity_Price.Cost_Center,Cost_Center,COST_CENTER_ID,3,Activity_Price.Cost_Center,Cost_Center,COST_CENTER_DESCRIPTION
Activity_Price.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID,1,Activity_Price.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID
Activity_Price.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID,2,Activity_Price.Activity_Type.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Activity_Price.Activity_Type,Activity_Type,ACTIVITY_TYPE_ID,3,Activity_Price.Activity_Type,Activity_Type,ACTIVITY_TYPE_DESCRIPTION
Activity_Price.Project,Project,PROJECT_ID,1,Activity_Price.Project,Project,PROJECT_ID
Activity_Price.Project,Project,PROJECT_ID,2,Activity_Price.Project,Project,PROJECT_NAME
Material_Price.Vendor,Vendor,VENDOR_ID,1,Material_Price.Vendor,Vendor,VENDOR_ID
Material_Price.Vendor,Vendor,VENDOR_ID,2,Material_Price.Vendor,Vendor,VENDOR_NAME
Material_Price.Project,Project,PROJECT_ID,1,Material_Price.Project,Project,PROJECT_ID
Material_Price.Project,Project,PROJECT_ID,2,Material_Price.Project,Project,PROJECT_NAME
Work_Center.Plant,Plant,PLANT_ID,1,Work_Center.Plant,Plant,PLANT_ID
Work_Center.Plant,Plant,PLANT_ID,2,Work_Center.Plant,Plant,PLANT_DESCRIPTION
Work_Center.Cost_Center,Cost_Center,COST_CENTER_ID,1,Work_Center.Cost_Center,Cost_Center,COST_CENTER_ID
Work_Center.Cost_Center,Cost_Center,COST_CENTER_ID,2,Work_Center.Cost_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Work_Center.Cost_Center,Cost_Center,COST_CENTER_ID,3,Work_Center.Cost_Center,Cost_Center,COST_CENTER_DESCRIPTION
Work_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Work_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Work_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Work_Center.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Item.Work_Center,Work_Center,WORK_CENTER_ID,1,Item.Work_Center,Work_Center,WORK_CENTER_ID
Item.Work_Center,Work_Center,WORK_CENTER_ID,2,Item.Work_Center.Plant,Plant,PLANT_ID
Item.Work_Center,Work_Center,WORK_CENTER_ID,3,Item.Work_Center,Work_Center,WORK_CENTER_DESCRIPTION
Item.Referenced_Calculation_Version.Calculation.Project,Project,PROJECT_ID,1,Item.Referenced_Calculation_Version.Calculation.Project,Project,PROJECT_ID
Item.Referenced_Calculation_Version.Calculation.Project,Project,PROJECT_ID,2,Item.Referenced_Calculation_Version.Calculation.Project,Project,PROJECT_NAME
Item.Referenced_Calculation_Version.Customer,Customer,CUSTOMER_ID,1,Item.Referenced_Calculation_Version.Customer,Customer,CUSTOMER_ID
Item.Referenced_Calculation_Version.Customer,Customer,CUSTOMER_ID,2,Item.Referenced_Calculation_Version.Customer,Customer,CUSTOMER_NAME
Item.Referenced_Calculation_Version.Calculation.Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,1,Item.Referenced_Calculation_Version.Calculation.Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Item.Referenced_Calculation_Version.Calculation.Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID,2,Item.Referenced_Calculation_Version.Calculation.Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_DESCRIPTION
Project.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_ID,1,Project.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_ID
Project.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_ID,2,Project.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_DESCRIPTION
Calculation_Version.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_ID,1,Calculation_Version.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_ID
Calculation_Version.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_ID,2,Calculation_Version.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_DESCRIPTION
Currency_Conversion.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_ID,1,Currency_Conversion.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_ID
Currency_Conversion.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_ID,2,Currency_Conversion.Exchange_Rate_Type,Exchange_Rate_Type,EXCHANGE_RATE_TYPE_DESCRIPTION
Activity_Price.Customer,Customer,CUSTOMER_ID,1,Activity_Price.Customer,Customer,CUSTOMER_ID
Activity_Price.Customer,Customer,CUSTOMER_ID,2,Activity_Price.Customer,Customer,CUSTOMER_NAME
Material_Price.Customer,Customer,CUSTOMER_ID,1,Material_Price.Customer,Customer,CUSTOMER_ID
Material_Price.Customer,Customer,CUSTOMER_ID,2,Material_Price.Customer,Customer,CUSTOMER_NAME
Calculation,Calculation,CALCULATION_ID,1,Calculation,Calculation,CALCULATION_ID
Calculation,Calculation,CALCULATION_ID,2,Calculation,Calculation,CALCULATION_NAME
Overhead.Project,Project,PROJECT_ID,1,Overhead.Project,Project,PROJECT_ID
Overhead.Project,Project,PROJECT_ID,2,Overhead.Project.Controlling_Area,Controlling_Area,CONTROLLING_AREA_ID
Overhead.Project,Project,PROJECT_ID,3,Overhead.Project,Project,PROJECT_NAME
Onetimecost_Project.Account,Account,ACCOUNT_ID,1,Onetimecost_Project.Account,Account,ACCOUNT_ID
Onetimecost_Project.Account,Account,ACCOUNT_ID,2,Onetimecost_Project.Account,Account,ACCOUNT_DESCRIPTION
