ID,TABLE_NAME,LABEL,DESCRIPTION,INPUT_SQL_DEFAULT,INPUT_SQL,IS_REPL_MANDATORY,REPL_STATUS
11,t_business_area,XFLD_DisplayName_BusinessArea,XTOL_DescriptionName_BusinessArea,"SELECT GSBER FROM ""sap.plc.db::repl_st.t_tgsb"" WHERE GSBER IS NOT NULL and MANDT = ''800''",,0,DISABLED
12,t_material_type,XFLD_DisplayName_MaterialType,XTOL_DescriptionName_MaterialType,"SELECT MTART FROM ""sap.plc.db::repl_st.t_t134"" WHERE MTART IS NOT NULL and MANDT = ''800''",,0,DISABLED
13,t_material_group,XFLD_DisplayName_MaterialGroup,XTOL_DescriptionName_MaterialGroup,"SELECT MATKL FROM ""sap.plc.db::repl_st.t_t023""  WHERE MATKL IS NOT NULL AND MANDT = ''800''",,0,DISABLED
14,t_material,XFLD_DisplayName_Material,XTOL_DescriptionName_Material,"SELECT DISTINCT (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(MATNR)=0 then MATNR else TRIM( LEADING ''0'' FROM MATNR )END) AS MATNR, IFNULL( uom.DESTINATION_UOM_ID, MEINS ) AS MEINS, mara.MATKL, mara.MTART, CASE WHEN mara.CADKZ = '''' OR mara.CADKZ IS NULL THEN 0 ELSE 1 END AS CADKZ, 0 AS IS_PHANTOM_MATERIAL, CASE WHEN mara.KZKFG = '''' OR mara.KZKFG IS NULL THEN 0 ELSE 1 END AS KZKFG FROM ""sap.plc.db::repl_st.t_mara"" AS mara LEFT OUTER JOIN ""sap.plc.db::map.t_uom_mapping"" AS uom ON mara.MEINS = uom.SOURCE_UOM_ID WHERE ifnull(mara.LVORM,'''')<>''X'' AND IFNULL(mara.MATNR, '''') <> '''' AND (IFNULL(uom.DESTINATION_UOM_ID, MEINS) IN (SELECT DISTINCT UOM_ID FROM ""sap.plc.db::basis.t_uom"")) AND mara.mandt = ''800''",,0,DISABLED
15,t_document_type,XFLD_DisplayName_DocumentType,XTOL_DescriptionName_DocumentType,"SELECT tdwa.DOKAR FROM ""sap.plc.db::repl_st.t_tdwa"" as tdwa WHERE tdwa.DOKAR IS NOT NULL AND tdwa.MANDT=''800''",,0,DISABLED
16,t_document_status,XFLD_DisplayName_Status,XTOL_DescriptionName_Status,"SELECT tdws.DOKAR, tdws.DOKST FROM ""sap.plc.db::repl_st.t_tdws"" as tdws WHERE tdws.DOKAR IS NOT NULL AND tdws.DOKST IS NOT NULL AND tdws.MANDT = ''800''",,0,DISABLED
17,t_document,XFLD_DisplayName_Document,XTOL_DescriptionName_Document,"SELECT draw.DOKAR, (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(DOKNR)=0 then DOKNR else TRIM( LEADING ''0'' FROM DOKNR )END) AS DOKNR, draw.DOKVR, draw.DOKTL, draw.DOKST, draw.LABOR, CASE WHEN draw.CADKZ = '''' OR draw.CADKZ IS NULL THEN 0 ELSE 1 END AS CADKZ FROM ""sap.plc.db::repl_st.t_draw"" as draw WHERE ifnull(draw.LOEDK,'''')<>''X'' AND draw.DOKAR IS NOT NULL AND draw.DOKNR IS NOT NULL AND draw.DOKVR IS NOT NULL AND draw.DOKTL IS NOT NULL AND draw.MANDT = ''800''",,0,DISABLED
18,t_document_material,XFLD_DisplayName_DocumentMaterial,XTOL_DescriptionName_DocumentMaterial,"select distinct drad.DOKAR, (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(drad.DOKNR)=0 then drad.DOKNR else TRIM( LEADING ''0'' FROM drad.DOKNR )END) AS DOKNR, drad.DOKVR, drad.DOKTL, (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(drad.OBJKY)=0 then drad.OBJKY else TRIM( LEADING ''0'' FROM drad.OBJKY )END) AS OBJKY from ""sap.plc.db::repl_st.t_drad"" as drad where ifnull(drad.DELFLAG,'''')<>''X'' and drad.DOKOB = ''MARA'' and drad.MANDT = ''800''",,0,DISABLED
19,t_vendor,XFLD_DisplayName_Vendor,XTOL_DescriptionName_Vendor,"SELECT LIFNR,LAND1,CASE WHEN NAME1 IS NOT NULL AND NAME2 IS NOT NULL THEN NAME1 || '' '' || NAME2 WHEN NAME1 IS NOT NULL AND NAME2 IS NULL THEN NAME1 WHEN NAME1 IS NULL AND NAME2 IS NOT NULL THEN NAME2 ELSE '''' END AS NAME1, ORT01,PSTL2,REGIO,STRAS,LOEVM,CASE WHEN STKZN = '''' OR STKZN IS NULL THEN 0 ELSE 1 END AS STKZN FROM ""sap.plc.db::repl_st.t_lfa1"" WHERE IFNULL(LOEVM,'''') <> ''X'' AND IFNULL(CVP_XBLCK ,'''') <> ''X'' AND LIFNR IS NOT NULL AND MANDT = ''800''",,0,DISABLED
20,t_customer,XFLD_DisplayName_Customer,XTOL_DescriptionName_Customer,"SELECT KUNNR,LAND1,CASE WHEN NAME1 IS NOT NULL AND NAME2 IS NOT NULL THEN NAME1 || '' '' || NAME2 WHEN NAME1 IS NOT NULL AND NAME2 IS NULL THEN NAME1 WHEN NAME1 IS NULL AND NAME2 IS NOT NULL THEN NAME2 ELSE '''' END AS NAME1,ORT01,PSTLZ,REGIO,STRAS,CASE WHEN STKZN = '''' OR STKZN IS NULL THEN 0 ELSE 1 END AS STKZN FROM  ""sap.plc.db::repl_st.t_kna1""  WHERE ifnull(LOEVM,'''')<>''X'' AND ifnull(CVP_XBLCK,'''')<>''X'' AND KUNNR IS NOT NULL AND MANDT = ''800''",,0,DISABLED
21,t_currency_conversion,XFLD_DisplayName_CurrencyConversion,XTOL_DescriptionName_CurrencyConversion,"select distinct ''STANDARD'' as EXCHANGE_RATE_TYPE_ID, tcurr.FCURR, tcurr.TCURR, tcurf.FFACT, tcurf.TFACT, tcurr.UKURS, TO_DATE(99999999 - tcurr.GDATU) as VALID_FROM from ""sap.plc.db::repl_st.t_tcurr"" as tcurr inner join ""sap.plc.db::repl_st.t_tcurf"" as tcurf on tcurr.MANDT = tcurf.MANDT and tcurr.KURST = tcurf.KURST and tcurr.FCURR = tcurf.FCURR and tcurr.TCURR = tcurf.TCURR where ucase(tcurr.FCURR) in ( SELECT distinct CURRENCY_ID FROM ""sap.plc.db::basis.t_currency"" where _valid_from <= current_timestamp and _valid_to is null) and ucase(tcurr.TCURR) in ( SELECT distinct CURRENCY_ID FROM ""sap.plc.db::basis.t_currency"" where _valid_from <= current_timestamp and _valid_to is null) and (select max(TO_DATE(99999999 - tcurff.GDATU)) from ""sap.plc.db::repl_st.t_tcurf"" as tcurff where tcurff.MANDT = tcurr.MANDT and tcurff.KURST = tcurr.KURST and tcurff.FCURR = tcurr.FCURR and tcurff.TCURR = tcurr.TCURR group by tcurff.MANDT, tcurff.KURST, tcurff.FCURR, tcurff.TCURR ) <=  TO_DATE(99999999 - tcurr.GDATU) and tcurr.MANDT = ''800'' and tcurr.UKURS > 0 union select distinct ''STANDARD'' as EXCHANGE_RATE_TYPE_ID, tcurr.FCURR, tcurr.TCURR, tcurf.TFACT as FFACT, tcurf.FFACT as TFACT, 1 / ( (-1 ) * tcurr.UKURS ) as UKURS, TO_DATE(99999999 - tcurr.GDATU) as VALID_FROM from ""sap.plc.db::repl_st.t_tcurr"" as tcurr inner join ""sap.plc.db::repl_st.t_tcurf"" as tcurf on tcurr.MANDT = tcurf.MANDT and tcurr.KURST = tcurf.KURST and tcurr.FCURR = tcurf.TCURR and tcurr.TCURR = tcurf.FCURR where ucase(tcurr.FCURR) in ( SELECT distinct CURRENCY_ID FROM ""sap.plc.db::basis.t_currency"" where _valid_from <= current_timestamp and _valid_to is null) and ucase(tcurr.TCURR) in ( SELECT distinct CURRENCY_ID FROM ""sap.plc.db::basis.t_currency"" where _valid_from <= current_timestamp and _valid_to is null) and (select max(TO_DATE(99999999 - tcurff.GDATU)) from ""sap.plc.db::repl_st.t_tcurf"" as tcurff where tcurff.MANDT = tcurr.MANDT and tcurff.KURST = tcurr.KURST and tcurff.FCURR = tcurr.TCURR and tcurff.TCURR = tcurr.FCURR group by tcurff.MANDT, tcurff.KURST, tcurff.FCURR, tcurff.TCURR ) <=  TO_DATE(99999999 - tcurr.GDATU) and tcurr.MANDT = ''800'' and tcurr.UKURS < 0 ",,0,DISABLED
22,t_material_plant,XFLD_DisplayName_MaterialPlant,XTOL_DescriptionName_MaterialPlant,"SELECT DISTINCT (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(marc.MATNR)=0 then marc.MATNR else TRIM( LEADING ''0'' FROM marc.MATNR )END) AS MATNR, IFNULL(uom.DESTINATION_UOM_ID,mara.MEINS) AS MEINS, marc.WERKS, marc.LOSGR, mbew.BKLAS, mbew.KOSGR FROM ""sap.plc.db::repl_st.t_marc"" AS marc inner join ""sap.plc.db::repl_st.t_t001w"" AS t001w on marc.mandt = t001w.mandt and marc.WERKS=t001w.WERKS inner join ""sap.plc.db::repl_st.t_mbew"" AS mbew on marc.mandt = mbew.mandt and marc.matnr = mbew.matnr and t001w.bwkey= mbew.bwkey and mbew.bwtar = '''' inner join ""sap.plc.db::repl_st.t_mara"" AS mara on marc.mandt = mara.mandt and marc.matnr = mara.matnr LEFT OUTER JOIN ""sap.plc.db::map.t_uom_mapping"" AS uom ON mara.MEINS = uom.SOURCE_UOM_ID WHERE ifnull(marc.LVORM,'''')<>''X'' AND IFNULL(marc.MATNR, '''') <> '''' AND (IFNULL(uom.DESTINATION_UOM_ID, mara.MEINS) IN (SELECT DISTINCT UOM_ID FROM ""sap.plc.db::basis.t_uom"")) and marc.mandt = ''800''",,0,DISABLED
24,t_material_price,XFLD_DisplayName_MaterialPrice,XTOL_DescriptionName_MaterialPrice,"select distinct price_sources.PRICE_SOURCE_ID, (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(mbew.MATNR)=0 then mbew.MATNR else TRIM( LEADING ''0'' FROM mbew.MATNR )END) AS MATNR, (case when t001w.werks is null or t001w.werks =''''  then ''*'' else t001w.werks end) as WERKS,''*'' as VENDOR_ID,''*'' as PROJECT_ID,''*'' as CUSTOMER_ID,(case WHEN price_sources.PRICE_SOURCE_ID = ''ERP_STANDARD_PRICE'' THEN TO_DATE(CONCAT(ifnull(mbew.LFGJA,''2000''),ifnull(mbew.LFMON,''01''))) WHEN price_sources.PRICE_SOURCE_ID = ''ERP_MOVING_PRICE'' THEN TO_DATE(CONCAT(ifnull(mbew.LFGJA,''2000''),ifnull(mbew.LFMON,''01''))) WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE1'' THEN mbew.ZPLD1 WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE2'' THEN mbew.ZPLD2 WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE3'' THEN mbew.ZPLD3 end) as VALID_FROM, null as VALID_TO, 1 as VALID_FROM_QUANTITY , null as VALID_TO_QUANTITY , marc.EKGRP as EKGRP, null as PURCHASING_DOCUMENT , null as LOCAL_CONTENT , 0 as PRICE_FIXED_PORTION , (case WHEN price_sources.PRICE_SOURCE_ID = ''ERP_STANDARD_PRICE'' THEN mbew.STPRS WHEN price_sources.PRICE_SOURCE_ID = ''ERP_MOVING_PRICE'' THEN mbew.VERPR WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE1'' THEN mbew.ZPLP1 WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE2'' THEN mbew.ZPLP2 WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE3'' THEN mbew.ZPLP3 end) as PRICE_VARIABLE_PORTION, t001.WAERS as WAERS, MBEW.PEINH as PEINH, IFNULL(uom.DESTINATION_UOM_ID, mara.MEINS) as MEINS from ""sap.plc.db::repl_st.t_mbew"" as mbew left outer join ""sap.plc.db::repl_st.t_mara"" as mara on mbew.MATNR = mara.MATNR and mbew.MANDT = mara.MANDT left outer join ""sap.plc.db::repl_st.t_t001k"" as t001k on mbew.BWKEY = t001k.BWKEY and mbew.MANDT = t001k.MANDT left outer join ""sap.plc.db::repl_st.t_t001"" as t001 on t001.BUKRS = t001k.BUKRS and t001.MANDT = t001k.MANDT left outer join ""sap.plc.db::repl_st.t_t001w"" as t001w on t001w.BWKEY = t001k.BWKEY and t001w.MANDT = t001k.MANDT left outer join ""sap.plc.db::repl_st.t_marc"" as marc on mbew.MATNR = marc.MATNR and t001w.WERKS = marc.WERKS and mbew.MANDT = marc.MANDT left outer join ""sap.plc.db::map.t_uom_mapping"" AS uom ON mara.MEINS = uom.SOURCE_UOM_ID inner join ( select ''ERP_STANDARD_PRICE'' as PRICE_SOURCE_ID from dummy union all select ''ERP_MOVING_PRICE'' as PRICE_SOURCE_ID from dummy union all select ''ERP_PLANNED_PRICE1'' as PRICE_SOURCE_ID from dummy union all select ''ERP_PLANNED_PRICE2'' as PRICE_SOURCE_ID from dummy union all select ''ERP_PLANNED_PRICE3'' as PRICE_SOURCE_ID from dummy ) as price_sources on 1 = 1 where mbew.BWTAR = '''' and ifnull(mbew.LVORM,'''')<>''X'' and (CASE WHEN price_sources.PRICE_SOURCE_ID = ''ERP_STANDARD_PRICE'' THEN mbew.STPRS ELSE 1 END) is not null and (CASE WHEN price_sources.PRICE_SOURCE_ID = ''ERP_STANDARD_PRICE'' THEN mbew.STPRS ELSE 1 END) <> 0.99 and  (CASE WHEN price_sources.PRICE_SOURCE_ID = ''ERP_MOVING_PRICE'' THEN mbew.VERPR ELSE 1 END) is not null and (CASE WHEN price_sources.PRICE_SOURCE_ID = ''ERP_MOVING_PRICE'' THEN mbew.VERPR ELSE 1 END) <> 0.99 and  (CASE WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE1'' THEN mbew.ZPLP1 ELSE 1 END) <> 0.99 and (CASE WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE2'' THEN mbew.ZPLP2 ELSE 1 END) is not null and (CASE WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE2'' THEN mbew.ZPLP2 ELSE 1 END) <> 0.99 and  (CASE WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE3'' THEN mbew.ZPLP3 ELSE 1 END) is not null and (CASE WHEN price_sources.PRICE_SOURCE_ID = ''ERP_PLANNED_PRICE3'' THEN mbew.ZPLP3 ELSE 1 END) <> 0.99 and (IFNULL(uom.DESTINATION_UOM_ID, mara.MEINS) IN (SELECT DISTINCT UOM_ID FROM ""sap.plc.db::basis.t_uom"")) and (t001.WAERS is NULL or ucase(t001.WAERS) in ( SELECT distinct CURRENCY_ID FROM ""sap.plc.db::basis.t_currency"" where _valid_from <= current_timestamp and _valid_to is null) ) and mbew.MANDT = ''800''",,0,DISABLED
25,t_material_account_determination,XFLD_DisplayName_MaterialAccountDetermination,XTOL_DescriptionName_MaterialAccountDetermination,"SELECT DISTINCT tka02.KOKRS, ''*'' as MTART, t001w.WERKS, CASE WHEN IFNULL(t030.BKLAS,'''') = '''' OR t030.BKLAS = '' '' THEN ''*'' ELSE t030.BKLAS END AS BKLAS, (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(t030.KONTS)=0 then t030.KONTS else TRIM( LEADING ''0'' FROM t030.KONTS )END) AS KONTS FROM ""sap.plc.db::repl_st.t_t030"" AS t030 inner join ""sap.plc.db::repl_st.t_t001k"" as t001k on t001k.MANDT = t030.MANDT and t001k.BWMOD = t030.BWMOD inner join ""sap.plc.db::repl_st.t_t001w"" as t001w on t001w.MANDT = t001k.MANDT and t001w.BWKEY = t001k.BWKEY inner join ""sap.plc.db::repl_st.t_tka02"" as tka02 on t001w.mandt = tka02.mandt and t001k.BUKRS = tka02.BUKRS and tka02.gsber = '''' inner join ""sap.plc.db::repl_st.t_t001"" as t001 on tka02.mandt = t001.mandt  and tka02.bukrs = t001.bukrs  and t030.KTOPL = t001.KTOPL WHERE t030.KOMOK = ''VBR'' and t030.KTOSL = ''GBB'' and t030.mandt = ''800'' AND IFNULL(t030.BWMOD,'''')<>'''' UNION SELECT DISTINCT tka02.KOKRS, ''*'' as MTART, ''*'' as WERKS, CASE WHEN IFNULL(t030.BKLAS,'''') = '''' OR t030.BKLAS = '' '' THEN ''*'' ELSE t030.BKLAS END AS BKLAS, (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(t030.KONTS)=0 then t030.KONTS else TRIM( LEADING ''0'' FROM t030.KONTS )END) AS KONTS FROM ""sap.plc.db::repl_st.t_t030"" AS t030 inner join ""sap.plc.db::repl_st.t_t001"" as t001 on t030.mandt = t001.mandt and t030.KTOPL = t001.KTOPL inner join ""sap.plc.db::repl_st.t_tka02"" as tka02 on t001.mandt = tka02.mandt and t001.BUKRS = tka02.BUKRS and tka02.gsber = '''' WHERE t030.KOMOK = ''VBR'' and t030.KTOSL = ''GBB'' and t030.mandt = ''800'' and IFNULL(t030.BWMOD,'''')=''''",,0,DISABLED
26,t_activity_type,XFLD_DisplayName_ActivityType,XTOL_DescriptionName_ActivityType,"SELECT CSLA.LSTAR, CSLA.KOKRS, (CASE WHEN ""sap.plc.db.masterdata_replication.functions::f_is_numeric""(CSLA.VKSTA)=0 then CSLA.VKSTA else TRIM( LEADING ''0'' FROM CSLA.VKSTA )END) AS VKSTA FROM ""sap.plc.db::repl_st.t_csla"" AS CSLA WHERE CSLA.LSTAR IS NOT NULL and CSLA.KOKRS is not NULL and CSLA.DATBI = (SELECT MAX(DATBI) FROM ""sap.plc.db::repl_st.t_csla"" AS CSLA1 WHERE CSLA1.MANDT = ''800'' AND CSLA1.LSTAR = CSLA.LSTAR AND CSLA1.KOKRS = CSLA.KOKRS) AND CSLA.DATBI >= TO_DATS(CURRENT_DATE) and CSLA.MANDT = ''800''",,0,DISABLED
28,t_controlling_area__text,XFLD_DisplayName_ControllingAreaText,XTOL_DescriptionName_ControllingAreaText,"SELECT KOKRS, lang.LANGUAGE AS LANGU, BEZEI FROM ""sap.plc.db::repl_st.t_tka01"" JOIN ""sap.plc.db::basis.t_language"" AS lang ON lang.TEXTS_MAINTAINABLE = 1 and lang._valid_from <= current_timestamp and lang._valid_to is null WHERE KOKRS IS NOT NULL and (WAERS is NULL or ucase(WAERS) in ( SELECT distinct CURRENCY_ID FROM ""sap.plc.db::basis.t_currency"" where _valid_from <= current_timestamp and _valid_to is null )) and MANDT = ''800''",,0,DISABLED
29,t_company_code__text,XFLD_DisplayName_CompanyCodeText,XTOL_DescriptionName_CompanyCodeText,"SELECT BUKRS, lang.LANGUAGE AS LANGU, BUTXT FROM ""sap.plc.db::repl_st.t_t001"" JOIN ""sap.plc.db::basis.t_language"" AS lang ON lang.TEXTS_MAINTAINABLE = 1 WHERE BUKRS in ( SELECT distinct t001.BUKRS FROM ""sap.plc.db::repl_st.t_t001"" as t001 inner join ""sap.plc.db::repl_st.t_tka02"" as tka02 on t001.mandt= tka02.mandt and t001.bukrs = tka02.bukrs and tka02.gsber = '''' WHERE t001.BUKRS IS NOT NULL and tka02.bukrs is not null AND tka02.KOKRS IS NOT NULL and (t001.WAERS is NULL or ucase(t001.WAERS) in ( SELECT distinct CURRENCY_ID FROM ""sap.plc.db::basis.t_currency"" where _valid_from <= current_timestamp and _valid_to is null) ) and t001.mandt = ''800'' ) and MANDT = ''800''",,0,DISABLED
30,t_plant__text,XFLD_DisplayName_PlantText,XTOL_DescriptionName_PlantText,"SELECT texttable.WERKS,lang.LANGUAGE AS LANGU,texttable.NAME1 FROM ""sap.plc.db::repl_st.t_t001w"" as texttable inner join (SELECT t001w.WERKS FROM ""sap.plc.db::repl_st.t_t001w"" as t001w inner join ""sap.plc.db::repl_st.t_t001k"" as t001k on t001w.mandt= t001k.mandt and t001w.BWKEY = t001k.BWKEY WHERE t001w.WERKS IS NOT NULL AND t001k.BUKRS IS NOT NULL) as maintable ON texttable.WERKS = maintable.WERKS JOIN ""sap.plc.db::basis.t_language"" AS lang ON lang.TEXTS_MAINTAINABLE = 1 where texttable.mandt = ''800''",,0,DISABLED
31,t_overhead_group__text,XFLD_DisplayName_OverheadGroupText,XTOL_DescriptionName_OverheadGroupText,"SELECT textTableOverheadGroup.KOSGR, languageTable.LANGUAGE AS LANGU, t001w.WERKS, textTableOverheadGroup.TXZSCHL FROM ""sap.plc.db::repl_st.t_tck15"" AS textTableOverheadGroup INNER JOIN ""sap.plc.db::repl_st.t_t001w"" AS t001w ON textTableOverheadGroup.BWKEY = t001w.BWKEY AND textTableOverheadGroup.MANDT = t001w.MANDT INNER JOIN ""sap.plc.db::basis.t_language"" as languageTable on textTableOverheadGroup.SPRAS = languageTable.MAPPING_LANGUAGE_ID and languageTable.TEXTS_MAINTAINABLE = 1 and languageTable._valid_from <= current_timestamp and languageTable._valid_to is null WHERE textTableOverheadGroup.KOSGR IS NOT NULL AND t001w.WERKS IS NOT NULL AND textTableOverheadGroup.MANDT = ''800''",,0,DISABLED
