"UOM_ID","LANGUAGE","UOM_CODE","UOM_DESCRIPTION","_VALID_FROM","_VALID_TO","_SOURCE","_CREATED_BY"
"H","DE","h","Stunde","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"DAY","DE","d","Tag","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GC3","DE","gc3","Gramm pro Kubikzentimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KM3","DE","km3","Kilogramm pro Kubikmeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GM3","DE","gm3","Gramm pro Kubikmeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KC3","DE","kc3","Kilogramm pro Kubikzentimeter","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"OY3","DE","oy3","Unze per Kubikyard","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IMI","DE","imi","Industrieminute","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IMI","EN","imi","Industry Minute","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"J","DE","j","Joule","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"J","EN","j","Joule","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"WS","DE","ws","Kilowattsekunde","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"WS","EN","ws","Watt Second","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"WH","DE","wh","Wattstunde","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"WH","EN","wh","Watt Hour","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KWH","DE","kwh","Kilowattstunde","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KWH","EN","kwh","Kilowatt Hour","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KM","EN","km","Kilometer","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KM","DE","km","Kilometer","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM","ZH-HANS","cm","厘米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM2","ZH-HANS","cm²","平方厘米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM3","ZH-HANS","cm³","立方厘米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"DAY","ZH-HANS","d","天","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"EA","ZH-HANS","EA","个","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FOZ","ZH-HANS","foz","美制液盎司","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT","ZH-HANS","ft","英尺","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT2","ZH-HANS","ft²","平方英尺","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT3","ZH-HANS","ft³","立方英尺","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"G","ZH-HANS","g","克","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GAL","ZH-HANS","gal","美制加仑","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GC3","ZH-HANS","g/cm³","克每立方厘米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GM3","ZH-HANS","g/m³","克每立方米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"H","ZH-HANS","h","小时","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IMI","ZH-HANS","imi","工业分钟","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN","ZH-HANS","IN","英寸","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN2","ZH-HANS","IN²","平方英尺","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN3","ZH-HANS","IN³","立方英尺","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"J","ZH-HANS","j","焦耳","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KC3","ZH-HANS","kc3","千克每立方厘米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KG","ZH-HANS","kg","千克","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KM","ZH-HANS","km","千米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KM3","ZH-HANS","km3","千克每立方米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KWH","ZH-HANS","kWh","千瓦·时","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"L","ZH-HANS","l","升","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"LB","ZH-HANS","lb","美制磅","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M","ZH-HANS","m","米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M2","ZH-HANS","m²","平方米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M3","ZH-HANS","m³","立方米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MG","ZH-HANS","mg","毫克","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MIN","ZH-HANS","min","分钟","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"ML","ZH-HANS","ml","毫升","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM","ZH-HANS","mm","毫米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM2","ZH-HANS","mm²","平方毫米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM3","ZH-HANS","mm³","立方毫米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MS","ZH-HANS","ms","毫秒","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"OY3","ZH-HANS","oy3","盎司每立方码","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"OZ","ZH-HANS","oz","盎司","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"PC","ZH-HANS","PC","件","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"PT","ZH-HANS","pt","品脱","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"S","ZH-HANS","sec","秒","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"T","ZH-HANS","t","吨","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"WH","ZH-HANS","W·h","瓦·时","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"WS","ZH-HANS","W·s","瓦·秒","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD","ZH-HANS","yd","码","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD2","ZH-HANS","yd²","平方码","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD3","ZH-HANS","yd³","立方码","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM","ZH-HANT","cm","厘米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM2","ZH-HANT","cm²","平方厘米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM3","ZH-HANT","cm³","立方厘米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"DAY","ZH-HANT","d","日","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"EA","ZH-HANT","EA","個","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FOZ","ZH-HANT","foz","美液盎司","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT","ZH-HANT","ft","英尺","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT2","ZH-HANT","ft²","平方英尺","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT3","ZH-HANT","ft³","立方英尺","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"G","ZH-HANT","g","公克","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GAL","ZH-HANT","gal","美制加侖","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GC3","ZH-HANT","g/cm³","克每立方厘米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GM3","ZH-HANT","g/m³","克每立方米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"H","ZH-HANT","h","時","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IMI","ZH-HANT","imi","工業分鐘","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN","ZH-HANT","IN","英寸","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN2","ZH-HANT","IN²","平方英尺","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN3","ZH-HANT","IN³","立方英尺","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"J","ZH-HANT","j","焦耳","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KC3","ZH-HANT","kc3","千克每立方厘米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KG","ZH-HANT","kg","公斤","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KM","ZH-HANT","km","公里","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KM3","ZH-HANT","km3","千克每立方米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KWH","ZH-HANT","kWh","千瓦·時","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"L","ZH-HANT","l","公升","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"LB","ZH-HANT","lb","美制磅","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M","ZH-HANT","m","米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M2","ZH-HANT","m²","平方米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M3","ZH-HANT","m³","立方米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MG","ZH-HANT","mg","毫公克","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MIN","ZH-HANT","min","分","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"ML","ZH-HANT","ml","毫公升","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM","ZH-HANT","mm","毫米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM2","ZH-HANT","mm²","平方毫米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM3","ZH-HANT","mm³","立方毫米","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MS","ZH-HANT","ms","毫秒","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"OY3","ZH-HANT","oy3","盎司每立方碼","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"OZ","ZH-HANT","oz","盎司","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"PC","ZH-HANT","PC","件","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"PT","ZH-HANT","pt","品脫","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"S","ZH-HANT","sec","秒","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"T","ZH-HANT","t","公噸","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"WH","ZH-HANT","W·h","瓦·時","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"WS","ZH-HANT","W·s","瓦·秒","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD","ZH-HANT","yd","碼","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD2","ZH-HANT","yd²","平方碼","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD3","ZH-HANT","yd³","立方碼","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"B","EN","b","Byte","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KB","EN","kb","Kilobyte","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MB","EN","mb","Megabyte","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GB","EN","gb","Gigabyte","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"HZ","EN","hz","Hertz","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KHZ","EN","khz","Kilohertz","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MHZ","EN","mhz","Megahertz","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GHZ","EN","ghz","Gigahertz","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CEL","EN","cel","Celsius","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KEL","EN","kel","Kelvin","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FAH","EN","fah","Fahrenheit","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"B","DE","b","Byte","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KB","DE","kb","Kilobyte","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MB","DE","mb","Megabyte","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GB","DE","gb","Gigabyte","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"HZ","DE","hz","Hertz","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KHZ","DE","khz","Kilohertz","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MHZ","DE","mhz","Megahertz","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GHZ","DE","ghz","Gigahertz","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CEL","DE","cel","Celsius","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KEL","DE","kel","Kelvin","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FAH","DE","fah","Fahrenheit","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
B,ZH-HANS,b,字节,2000-01-01 00:00:00.000,,1,#CONTROLLER
KB,ZH-HANS,kb,千字节,2000-01-01 00:00:00.000,,1,#CONTROLLER
MB,ZH-HANS,mb,兆字节,2000-01-01 00:00:00.000,,1,#CONTROLLER
GB,ZH-HANS,gb,千兆字节,2000-01-01 00:00:00.000,,1,#CONTROLLER
HZ,ZH-HANS,hz,赫兹,2000-01-01 00:00:00.000,,1,#CONTROLLER
KHZ,ZH-HANS,khz,千赫兹,2000-01-01 00:00:00.000,,1,#CONTROLLER
MHZ,ZH-HANS,mhz,兆赫,2000-01-01 00:00:00.000,,1,#CONTROLLER
GHZ,ZH-HANS,ghz,千兆赫,2000-01-01 00:00:00.000,,1,#CONTROLLER
CEL,ZH-HANS,cel,摄氏,2000-01-01 00:00:00.000,,1,#CONTROLLER
KEL,ZH-HANS,kel,开,2000-01-01 00:00:00.000,,1,#CONTROLLER
FAH,ZH-HANS,fah,华氏,2000-01-01 00:00:00.000,,1,#CONTROLLER
B,ZH-HANT,b,位元組,2000-01-01 00:00:00.000,,1,#CONTROLLER
KB,ZH-HANT,kb,千位元組,2000-01-01 00:00:00.000,,1,#CONTROLLER
MB,ZH-HANT,mb,百萬位元組,2000-01-01 00:00:00.000,,1,#CONTROLLER
GB,ZH-HANT,gb,十億位元組,2000-01-01 00:00:00.000,,1,#CONTROLLER
HZ,ZH-HANT,hz,赫茲,2000-01-01 00:00:00.000,,1,#CONTROLLER
KHZ,ZH-HANT,khz,千赫茲,2000-01-01 00:00:00.000,,1,#CONTROLLER
MHZ,ZH-HANT,mhz,兆赫,2000-01-01 00:00:00.000,,1,#CONTROLLER
GHZ,ZH-HANT,ghz,千兆赫茲,2000-01-01 00:00:00.000,,1,#CONTROLLER
CEL,ZH-HANT,cel,攝氏,2000-01-01 00:00:00.000,,1,#CONTROLLER
KEL,ZH-HANT,kel,開,2000-01-01 00:00:00.000,,1,#CONTROLLER
FAH,ZH-HANT,fah,華氏,2000-01-01 00:00:00.000,,1,#CONTROLLER
"PC","JA-JP","PC","個","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"EA","JA-JP","EA","個","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM","JA-JP","mm","ミリメートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM","JA-JP","cm","センチメートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M","JA-JP","m","メートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN","JA-JP","""","インチ","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT","JA-JP","ft","フィート","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD","JA-JP","yd","ヤード","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM2","JA-JP","mm²","平方ミリメートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM2","JA-JP","cm²","平方センチメートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M2","JA-JP","m²","平方メートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN2","JA-JP","""²","平方インチ","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT2","JA-JP","ft²","平方フィート","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD2","JA-JP","yd²","平方ヤード","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MM3","JA-JP","mm³","立法ミリメートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CM3","JA-JP","cm³","立法センチメートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"M3","JA-JP","m³","立法メートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IN3","JA-JP","""³","立法インチ","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FT3","JA-JP","ft³","立法フィート","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"YD3","JA-JP","yd³","立法ヤード","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"ML","JA-JP","ml","ミリリットル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"L","JA-JP","l","リットル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"PT","JA-JP","pt","パイント(US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"FOZ","JA-JP","foz","液量オンス(US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GAL","JA-JP","gal","ガロン(US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MG","JA-JP","mg","ミリグラム","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"G","JA-JP","g","グラム","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KG","JA-JP","kg","キログラム","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"T","JA-JP","t","メートルトン","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"OZ","JA-JP","oz","オンス","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"LB","JA-JP","lb","ポンド(US)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"S","JA-JP","sec","秒","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MS","JA-JP","ms","ミリ秒","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MIN","JA-JP","min","分","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"H","JA-JP","h","時間","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"DAY","JA-JP","d","日","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GC3","JA-JP","gc3","グラム毎立法センチメートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KM3","JA-JP","km3","キログラム毎立法メートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GM3","JA-JP","gm3","グラム毎立法メートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KC3","JA-JP","kc3","キログラム毎立法センチメートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"OY3","JA-JP","oy3","オンス毎立法ヤード","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"IMI","JA-JP","imi","業界時間(分)","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"J","JA-JP","j","ジュール","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"WS","JA-JP","ws","ワット秒","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"WH","JA-JP","wh","ワット時","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KWH","JA-JP","kwh","キロワット時","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KM","JA-JP","km","キロメートル","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"B","JA-JP","b","バイト","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KB","JA-JP","kb","キロバイト","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MB","JA-JP","mb","メガバイト","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GB","JA-JP","gb","ギガバイト","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"HZ","JA-JP","hz","ヘルツ","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"KHZ","JA-JP","khz","キロヘルツ","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"MHZ","JA-JP","mhz","メガヘルツ","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"GHZ","JA-JP","ghz","ギガヘルツ","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
"CEL","JA-JP","cel","摂氏","2000-01-01 00:00:00.000",,"1","#CONTROLLER"
