ITEM_CATEGORY_ID,LANGUAGE,ITEM_CATEGORY_DESCRIPTION,CHILD_ITEM_CATEGORY_ID,ITEM_CATEGORY_NAME
4,RU,"Работа, которая обеспечивается ресурсами за пределами вашей компании, например, закупка материалов у внешнего поставщика или закупка внешней услуги.",4,Работы со стороны
5,RU,"Логистическая операция, которая объединяет непрерывную и связанную серию работ в технологической карте и обычно выполняется на одном рабочем месте. Процесс также можно использовать для распределения на продукт косвенных затрат, таких как административные затраты, затраты на упаковку или персонал.",5,Процесс
6,RU,"Материал, подлежащий обработке, или услуга, выполняемая внешним поставщиком. Вы поставляете материал для обработки. Поставщик обрабатывает этот материал или оказывает услуги и возвращает вам продукт для дальнейшего производства.",6,Обработка давальческого материала	
7,RU,"Представляет собой оборудование и другие ресурсы, предназначенные для производства определенного продукта. Ресурсом может быть производство специального оборудования для изготовления форм по индивидуальному заказу. Инструмент может представлять собой сверло, которое необходимо заменять несколько раз в процессе производства продукта.",7,Ресурсы и инструменты
8,RU,"Позиции без описания, которые можно использовать вместо любого типа позиции. Например, вы можете добавить однократные затраты на проект как переменную позицию.",8,Переменная позиция
9,RU,"Используйте этот тип позиции для добавления описаний или комментариев выше, ниже или между позициями в вашей версии расчета для лучшей структуризации.",9,Текстовая позиция
10,RU,"Эта позиция ссылается на другую версию расчета, в которой рассчитывается деталь или монтажный узел. Это позволяет вам повторно использовать здесь эту версию расчета.",10,Ссылочная версия
0,ZH-HANS,创建新计算时自动分配到根项目。此项目类别只能用于根项目。,0,计算版本
1,ZH-HANS,在设计开始时不明确要使用的物料时使用。,1,凭证
2,ZH-HANS,要装配的产品的特定部分。根据用途分组。原材料和半成品在装配中用于创建成品。,2,物料
3,ZH-HANS,由公司内的人员或机器执行的作业。,3,内部作业
4,ZH-HANS,由公司之外的资源提供的作业，例如从外部供应商采购物料或采购外部服务。,4,外部作业
5,ZH-HANS,"将连续和已连接的作业序列分组在工艺路线中的物流操作，该操作通常在一个工作中心中执行。
流程还可用于向产品分配间接成本，例如管理成本、包装成本或人力资源成本。",5,流程
6,ZH-HANS,"将由外部供应商处理物料或执行服务。
您提供要处理的物料。供应商处理物料或执行服务并将产品返回以进行进一步生产。",6,转包
7,ZH-HANS,"表示专用于生产特定产品的机器和其他资源。
资源可以是用于定制形式制造的特殊机器生产。工具可能是产品生产过程中会变钝并且必须多次更换的钻头。",7,资源和工具
8,ZH-HANS,"可以用于替代任意项目类别的无特征项目。
例如，可以将一次性项目成本添加为可变项目。",8,可变项目
9,ZH-HANS,使用此项目类别在计算版本的项目前、后或中间添加描述或注释以优化结构。,9,文本项目
10,ZH-HANS,此项目引用计算部件或装配的其他计算版本。此处允许重复使用计算版本。,10,引用版本
0,ZH-HANT,會在您建立新版本時自動指派給根項目。此項目種類僅可針對根項目使用。,0,計算版本
1,ZH-HANT,可在設計一開始，尚未對所要使用的物料具有明確方向時使用。,1,文件
2,ZH-HANT,待組裝的產品特定部份，會根據目的分組。將在組件中使用原料和半成品以建立成品。,2,物料
3,ZH-HANT,由公司內員工或機器所執行的作業。,3,內部作業
4,ZH-HANT,由貴公司外的資源所提供的作業，如向外部供應商採購物料或外部服務採購。,4,外部作業
5,ZH-HANT,"在途程中將一系列連續且相關聯的作業聚集的物流作業，通常會在一個工作中心執行。
流程可用於將間接成本 (如管理、包裝或人力資源成本) 分配給產品。",5,流程
6,ZH-HANT,"由外部供應商處理的物料或執行的服務。
由您提供要處理的物料。供應商負責處理物料或執行服務，並將產品送回給您用於進一步生產。",6,分包
7,ZH-HANT,"表示致力於特定產品生產的機器和其他資源。
資源可為自訂形式的特殊機器生產。工具可能在產品生產期間鈍掉且必須數次替換的鑽頭。",7,資源和工具
8,ZH-HANT,"可用於取代任何項目種類的未區別項目。
例如，您可新增一次性計算版本成本作為變動項目。",8,變動項目
9,ZH-HANT,在計畫版本中使用此項目種類在項目上方、下方或項目間新增說明或註解，以加強結構。,9,內文項目
10,ZH-HANT,此項目參考計算部份或組件的其他計算版本。這可讓您在此重複使用計算版本。,10,參考版本
