ID,TABLE_NAME,COLUMN_NAME,FIELD_TYPE,IS_PK,MAPPED_COLUMN,MAPPED_COLUMN_DEFAULT,FIELD_ORDER,IS_MANDATORY,IS_NULLABLE,VALIDATION_REGEX,IS_CUSTOM,IS_UPPERCASE,LENGTH,SCALE,PRECISION,DESCRIPTION
58,t_customer,COUNTRY,String,0,,LAND1,3,0,1,,0,0,100,,,XTOL_DescriptionName_Country
59,t_customer,CUSTOMER_ID,String,1,,KUNNR,1,1,0,MASTERDATA,0,1,10,,,XTOL_DescriptionName_Customer
60,t_customer,CUSTOMER_NAME,String,0,,NAME1,2,0,1,,0,0,100,,,XTOL_DescriptionName_CustomerName
61,t_customer,POSTAL_CODE,String,0,,PSTLZ,4,0,1,,0,0,35,,,XTOL_DescriptionName_PostalCode
62,t_customer,REGION,String,0,,REGIO,5,0,1,,0,0,100,,,XTOL_DescriptionName_Region
63,t_customer,STREET_NUMBER_OR_PO_BOX,String,0,,STRAS,7,0,1,,0,0,100,,,XTOL_DescriptionName_StreetAndNumberOrPostBox
64,t_design_office,DESIGN_OFFICE_ID,String,,,,1,,0,,0,0,,,,
65,t_design_office__text,DESIGN_OFFICE_DESCRIPTION,String,0,,,1,,0,,0,0,,,,
66,t_design_office__text,DESIGN_OFFICE_ID,String,,,,2,,0,,0,0,,,,
67,t_design_office__text,LANGUAGE,String,,,,3,,0,,0,0,,,,
68,t_document,DESIGN_OFFICE_ID,String,0,,LABOR,1,0,1,,0,1,3,,,XTOL_DescriptionName_DesignOffice
69,t_document,DOCUMENT_ID,String,1,,DOKNR,2,1,0,MASTERDATA,0,1,40,,,XTOL_DescriptionName_Document
70,t_document,DOCUMENT_PART,String,1,,DOKTL,3,1,0,,0,0,3,,,XTOL_DescriptionName_DocumentPart
71,t_document,DOCUMENT_STATUS_ID,String,0,,DOKST,4,0,1,,0,1,2,,,XTOL_DescriptionName_DocumentStatus
72,t_document,DOCUMENT_TYPE_ID,String,1,,DOKAR,5,1,0,,0,1,3,,,XTOL_DescriptionName_DocumentType
73,t_document,DOCUMENT_VERSION,String,1,,DOKVR,6,1,0,,0,0,2,,,XTOL_DescriptionName_DocumentVersion
74,t_document,IS_CREATED_VIA_CAD_INTEGRATION,TINYINT,0,,CADKZ,7,0,1,,0,0,,,,XTOL_DescriptionName_CreatedUsingCADIntegration
75,t_document__text,DOCUMENT_DESCRIPTION,String,0,,DKTXT,1,0,1,,0,0,250,,,XTOL_DescriptionName_DocumentDecsription
76,t_document__text,DOCUMENT_ID,String,1,,DOKNR,2,1,0,,0,1,40,,,XTOL_DescriptionName_Document
77,t_document__text,DOCUMENT_PART,String,1,,DOKTL,3,1,0,,0,0,3,,,XTOL_DescriptionName_DocumentPart
78,t_document__text,DOCUMENT_TYPE_ID,String,1,,DOKAR,4,1,0,,0,1,3,,,XTOL_DescriptionName_DocumentType
79,t_document__text,DOCUMENT_VERSION,String,1,,DOKVR,5,1,0,,0,0,2,,,XTOL_DescriptionName_DocumentVersion
80,t_document__text,LANGUAGE,String,1,,LANGU,6,1,0,,0,0,11,,,XTOL_DescriptionName_Language
81,t_document_material,DOCUMENT_ID,String,1,,DOKNR,1,1,0,,0,1,40,,,XTOL_DescriptionName_Document
82,t_document_material,DOCUMENT_PART,String,1,,DOKTL,2,1,0,,0,0,3,,,XTOL_DescriptionName_DocumentPart
83,t_document_material,DOCUMENT_TYPE_ID,String,1,,DOKAR,3,1,0,,0,1,3,,,XTOL_DescriptionName_DocumentType
84,t_document_material,DOCUMENT_VERSION,String,1,,DOKVR,4,1,0,,0,0,2,,,XTOL_DescriptionName_DocumentVersion
85,t_document_material,MATERIAL_ID,String,1,,OBJKY,5,1,0,,0,1,40,,,XTOL_DescriptionName_Material
86,t_document_status,DOCUMENT_STATUS_ID,String,1,,DOKST,1,1,0,MASTERDATA,0,1,2,,,XTOL_DescriptionName_DocumentStatus
87,t_document_status,DOCUMENT_TYPE_ID,String,1,,DOKAR,2,1,0,,0,1,3,,,XTOL_DescriptionName_DocumentType
88,t_document_status__text,DOCUMENT_STATUS_DESCRIPTION,String,0,,DOSTX,1,0,1,,0,0,250,,,XTOL_DescriptionName_DocumentStatusDescription
89,t_document_status__text,DOCUMENT_STATUS_ID,String,1,,DOKST,2,1,0,,0,1,2,,,XTOL_DescriptionName_DocumentStatus
90,t_document_status__text,LANGUAGE,String,1,,LANGU,3,1,0,,0,0,11,,,XTOL_DescriptionName_Language
91,t_document_type,DOCUMENT_TYPE_ID,String,1,,DOKAR,1,1,0,MASTERDATA,0,1,3,,,XTOL_DescriptionName_DocumentType
92,t_document_type__text,DOCUMENT_TYPE_DESCRIPTION,String,0,,DARTXT,1,0,1,,0,0,250,,,XTOL_DescriptionName_DocumentTypeDescription
93,t_document_type__text,DOCUMENT_TYPE_ID,String,1,,DOKAR,2,1,0,,0,1,3,,,XTOL_DescriptionName_DocumentType
94,t_document_type__text,LANGUAGE,String,1,,LANGU,3,1,0,,0,0,11,,,XTOL_DescriptionName_Language
95,t_material,BASE_UOM_ID,String,0,,MEINS,1,0,1,,0,1,3,,,XTOL_DescriptionName_BaseUoM
96,t_material,IS_CONFIGURABLE_MATERIAL,TINYINT,0,,KZKFG,2,0,1,,0,0,,,,XTOL_DescriptionName_ConfigurableMaterial
97,t_material,IS_CREATED_VIA_CAD_INTEGRATION,TINYINT,0,,CADKZ,3,0,1,,0,0,,,,XTOL_DescriptionName_CreatedUsingCADIntegration
98,t_material,IS_PHANTOM_MATERIAL,TINYINT,0,,IS_PHANTOM_MATERIAL,4,0,1,,0,0,,,,XTOL_DescriptionName_PhantomMaterial
99,t_material,MATERIAL_GROUP_ID,String,0,,MATKL,5,0,1,,0,1,9,,,XTOL_DescriptionName_MaterialGroup
100,t_material,MATERIAL_ID,String,1,,MATNR,6,1,0,MASTERDATA,0,1,40,,,XTOL_DescriptionName_Material
101,t_material,MATERIAL_TYPE_ID,String,0,,MTART,7,0,1,,0,1,4,,,XTOL_DescriptionName_MaterialType
102,t_material__text,LANGUAGE,String,1,,LANGU,1,1,0,,0,0,11,,,XTOL_DescriptionName_Language
103,t_material__text,MATERIAL_DESCRIPTION,String,0,,MAKTX,2,0,1,,0,0,250,,,XTOL_DescriptionName_MaterialDescription
104,t_material__text,MATERIAL_ID,String,1,,MATNR,3,1,0,,0,1,40,,,XTOL_DescriptionName_Material
105,t_material_account_determination,ACCOUNT_ID,String,0,,KONTS,1,1,0,,0,1,10,,,XTOL_DescriptionName_Account
106,t_material_account_determination,CONTROLLING_AREA_ID,String,1,,KOKRS,2,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
107,t_material_account_determination,MATERIAL_TYPE_ID,String,1,,MTART,3,1,0,,0,1,4,,,XTOL_DescriptionName_MaterialType
108,t_material_account_determination,PLANT_ID,String,1,,WERKS,4,1,0,,0,1,8,,,XTOL_DescriptionName_Plant
109,t_material_account_determination,VALUATION_CLASS_ID,String,1,,BKLAS,5,1,0,,0,1,4,,,XTOL_DescriptionName_ValuationClass
110,t_material_group,MATERIAL_GROUP_ID,String,1,,MATKL,1,1,0,MASTERDATA,0,1,9,,,XTOL_DescriptionName_MaterialGroup
111,t_material_group__text,LANGUAGE,String,1,,LANGU,1,1,0,,0,0,11,,,XTOL_DescriptionName_Language
112,t_material_group__text,MATERIAL_GROUP_DESCRIPTION,String,0,,WGBEZ,3,0,1,,0,0,250,,,XTOL_DescriptionName_MaterialGroupDescription
113,t_material_group__text,MATERIAL_GROUP_ID,String,1,,MATKL,2,1,0,,0,1,9,,,XTOL_DescriptionName_MaterialGroup
114,t_material_plant,MATERIAL_ID,String,1,,MATNR,1,1,0,,0,1,40,,,XTOL_DescriptionName_Material
115,t_material_plant,MATERIAL_LOT_SIZE,DECIMAL,0,,LOSGR,2,0,1,,0,0,,7,24,XTOL_DescriptionName_MaterialLotSize
116,t_material_plant,MATERIAL_LOT_SIZE_UOM_ID,String,0,,MEINS,3,0,1,,0,1,3,,,XTOL_DescriptionName_MaterialLotSizeUom
117,t_material_plant,OVERHEAD_GROUP_ID,String,0,,KOSGR,4,0,1,,0,1,10,,,XTOL_DescriptionName_OverheadGroup
118,t_material_plant,PLANT_ID,String,1,,WERKS,5,1,0,,0,1,8,,,XTOL_DescriptionName_Plant
119,t_material_plant,VALUATION_CLASS_ID,String,0,,BKLAS,6,0,1,,0,1,4,,,XTOL_DescriptionName_ValuationClass
120,t_material_price,CUSTOMER_ID,String,0,,CUSTOMER_ID,1,1,0,,0,1,10,,,XTOL_DescriptionName_Customer
121,t_material_price,LOCAL_CONTENT,DECIMAL,0,,LOCAL_CONTENT,2,0,1,,0,0,,7,28,XTOL_DescriptionName_LocalContent
122,t_material_price,MATERIAL_ID,String,0,,MATNR,3,1,0,,0,1,40,,,XTOL_DescriptionName_Material
123,t_material_price,PLANT_ID,String,0,,WERKS,4,1,0,,0,1,8,,,XTOL_DescriptionName_Plant
124,t_material_price,PRICE_FIXED_PORTION,DECIMAL,0,,PRICE_FIXED_PORTION,5,0,1,,0,0,,7,28,XTOL_DescriptionName_PriceFixed
125,t_material_price,PRICE_SOURCE_ID,String,0,,PRICE_SOURCE_ID,6,1,0,,0,1,20,,,XTOL_DescriptionName_PriceSource
126,t_material_price,PRICE_UNIT,DECIMAL,0,,PEINH,7,1,0,,0,0,,7,28,XTOL_DescriptionName_PriceUnit
127,t_material_price,PRICE_UNIT_UOM_ID,String,0,,MEINS,8,1,0,,0,1,3,,,XTOL_DescriptionName_PriceUnitUoM
128,t_material_price,PRICE_VARIABLE_PORTION,DECIMAL,0,,PRICE_VARIABLE_PORTION,9,1,0,,0,0,,7,28,XTOL_DescriptionName_PriceVariable
129,t_material_price,PROJECT_ID,String,0,,PROJECT_ID,10,1,0,,0,1,35,,,XTOL_DescriptionName_Project
130,t_material_price,PURCHASING_DOCUMENT,String,0,,PURCHASING_DOCUMENT,11,0,1,,0,0,10,,,XTOL_DescriptionName_PurchasingDocument
131,t_material_price,PURCHASING_GROUP,String,0,,EKGRP,12,0,1,OPTIONAL_MASTERDATA,0,0,20,,,XTOL_DescriptionName_PurchasingGroup
132,t_material_price,TRANSACTION_CURRENCY_ID,String,0,,WAERS,13,1,0,,0,1,3,,,XTOL_DescriptionName_TransactionCurrency
133,t_material_price,VALID_FROM,DATE,0,,VALID_FROM,14,1,0,,0,0,,,,XTOL_DescriptionName_ValidFrom
134,t_material_price,VALID_FROM_QUANTITY,DECIMAL,0,,VALID_FROM_QUANTITY,15,1,0,,0,0,,7,28,XTOL_DescriptionName_ValidFromQuantity
135,t_material_price,VALID_TO,DATE,0,,VALID_TO,16,0,1,,0,0,,,,XTOL_DescriptionName_ValidTo
136,t_material_price,VALID_TO_QUANTITY,DECIMAL,0,,VALID_TO_QUANTITY,17,0,1,,0,0,,7,28,XTOL_DescriptionName_ValidToQuantity
137,t_material_price,VENDOR_ID,String,0,,VENDOR_ID,18,1,0,,0,1,10,,,XTOL_DescriptionName_Vendor
141,t_material_type,MATERIAL_TYPE_ID,String,1,,MTART,1,1,0,MASTERDATA,0,1,4,,,XTOL_DescriptionName_MaterialType
142,t_material_type__text,LANGUAGE,String,1,,LANGU,1,1,0,,0,0,11,,,XTOL_DescriptionName_Language
143,t_material_type__text,MATERIAL_TYPE_DESCRIPTION,String,0,,MTBEZ,3,0,1,,0,0,250,,,XTOL_DescriptionName_MaterialTypeDescription
144,t_material_type__text,MATERIAL_TYPE_ID,String,1,,MTART,2,1,0,,0,1,4,,,XTOL_DescriptionName_MaterialType
145,t_overhead_group,OVERHEAD_GROUP_ID,String,1,,KOSGR,1,1,0,MASTERDATA,0,1,10,,,XTOL_DescriptionName_OverheadGroup
146,t_overhead_group,PLANT_ID,String,1,,WERKS,2,1,0,,0,1,4,,,XTOL_DescriptionName_Plant
147,t_overhead_group__text,LANGUAGE,String,1,,LANGU,1,1,0,,0,0,11,,,XTOL_DescriptionName_Language
148,t_overhead_group__text,OVERHEAD_GROUP_DESCRIPTION,String,0,,TXZSCHL,2,0,1,,0,0,250,,,XTOL_DescriptionName_OverheadGroupDescription
149,t_overhead_group__text,OVERHEAD_GROUP_ID,String,1,,KOSGR,3,1,0,,0,1,10,,,XTOL_DescriptionName_OverheadGroup
150,t_overhead_group__text,PLANT_ID,String,1,,WERKS,4,1,0,,0,1,4,,,XTOL_DescriptionName_Plant
151,t_plant,CITY,String,0,,ORT01,6,0,1,,0,0,100,,,XTOL_DescriptionName_City
152,t_plant,COMPANY_CODE_ID,String,0,,BUKRS,2,1,0,,0,1,4,,,XTOL_DescriptionName_CompanyCode
153,t_plant,COUNTRY,String,0,,LAND1,3,0,1,,0,0,100,,,XTOL_DescriptionName_Country
154,t_plant,PLANT_ID,String,1,,WERKS,1,1,0,MASTERDATA,0,1,8,,,XTOL_DescriptionName_PlantId
155,t_plant,POSTAL_CODE,String,0,,PSTLZ,4,0,1,,0,0,35,,,XTOL_DescriptionName_PostalCode
156,t_plant,REGION,String,0,,REGIO,5,0,1,,0,0,100,,,XTOL_DescriptionName_Region
157,t_plant,STREET_NUMBER_OR_PO_BOX,String,0,,STRAS,7,0,1,,0,0,100,,,XTOL_DescriptionName_StreetAndNumberOrPostBox
158,t_plant__text,LANGUAGE,String,1,,LANGU,1,2,0,,0,1,11,,,XTOL_DescriptionName_Language
159,t_plant__text,PLANT_DESCRIPTION,String,0,,NAME1,2,3,1,,0,0,250,,,XTOL_DescriptionName_PlantDescription
160,t_plant__text,PLANT_ID,String,1,,WERKS,3,1,0,,0,1,8,,,XTOL_DescriptionName_PlantId
161,t_process,ACCOUNT_ID,String,0,,VKSTA,1,0,1,,0,1,10,,,XTOL_DescriptionName_Account
162,t_process,COMMENT,String,0,,COMMENT,2,0,1,,0,0,5000,,,XTOL_DescriptionName_Comment
163,t_process,CONTROLLING_AREA_ID,String,1,,KOKRS,3,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
164,t_process,PROCESS_ID,String,1,,PRZNR,4,1,0,MASTERDATA,0,1,12,,,XTOL_DescriptionName_Process
165,t_process__text,CONTROLLING_AREA_ID,String,1,,KOKRS,1,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
166,t_process__text,LANGUAGE,String,1,,LANGU,2,1,0,,0,0,11,,,XTOL_DescriptionName_Language
167,t_process__text,PROCESS_DESCRIPTION,String,0,,KTEXT,3,0,1,,0,0,250,,,XTOL_DescriptionName_ProcessDescription
168,t_process__text,PROCESS_ID,String,1,,PRZNR,4,1,0,,0,1,12,,,XTOL_DescriptionName_Process
169,t_profit_center,CONTROLLING_AREA_ID,String,1,,KOKRS,1,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
170,t_profit_center,PROFIT_CENTER_ID,String,1,,PRCTR,2,1,0,MASTERDATA,0,1,10,,,XTOL_DescriptionName_ProfitCenter
171,t_profit_center__text,CONTROLLING_AREA_ID,String,1,,KOKRS,1,1,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
172,t_profit_center__text,LANGUAGE,String,1,,LANGU,2,1,0,,0,0,11,,,XTOL_DescriptionName_Language
173,t_profit_center__text,PROFIT_CENTER_DESCRIPTION,String,0,,KTEXT,3,0,1,,0,0,250,,,XTOL_DescriptionName_ProfitCenterDescription
174,t_profit_center__text,PROFIT_CENTER_ID,String,1,,PRCTR,4,1,0,,0,1,10,,,XTOL_DescriptionName_ProfitCenter
175,t_uom,DENOMINATOR,INTEGER,0,,NENNR,4,0,1,,0,0,,,,XTOL_DescriptionName_Denominator
176,t_uom,DIMENSION_ID,String,0,,DIMID,2,0,1,,0,1,10,,,XTOL_DescriptionName_Dimension
177,t_uom,EXPONENT_BASE10,SMALLINT,0,,EXP10,5,0,1,,0,0,,,,XTOL_DescriptionName_ExponentBase
178,t_uom,NUMERATOR,INTEGER,0,,ZAEHL,3,0,1,,0,0,,,,XTOL_DescriptionName_Numerator
179,t_uom,SI_CONSTANT,DECIMAL,0,,ADDKO,6,0,1,,0,0,,6,9,XTOL_DescriptionName_SiConstant
180,t_uom,UOM_ID,String,1,,MSEHI,1,1,0,MASTERDATA,0,1,3,,,XTOL_DescriptionName_Uom
181,t_uom__text,LANGUAGE,String,1,,LANGU,1,1,0,,0,0,11,,,XTOL_DescriptionName_Language
182,t_uom__text,UOM_CODE,String,0,,MSEH3,2,0,1,,0,0,3,,,XTOL_DescriptionName_UomCode
183,t_uom__text,UOM_DESCRIPTION,String,0,,MSEHT,3,0,1,,0,0,40,,,XTOL_DescriptionName_UomDescription
184,t_uom__text,UOM_ID,String,1,,MSEHI,4,1,0,,0,1,3,,,XTOL_DescriptionName_Uom
185,t_valuation_class,VALUATION_CLASS_ID,String,1,,BKLAS,1,1,0,MASTERDATA,0,1,4,,,XTOL_DescriptionName_ValuationClass
186,t_valuation_class__text,LANGUAGE,String,1,,LANGU,1,1,0,,0,0,11,,,XTOL_DescriptionName_Language
187,t_valuation_class__text,VALUATION_CLASS_DESCRIPTION,String,0,,BKBEZ,2,0,1,,0,0,250,,,XTOL_DescriptionName_ValuationClassDescription
188,t_valuation_class__text,VALUATION_CLASS_ID,String,1,,BKLAS,3,1,0,,0,1,4,,,XTOL_DescriptionName_ValuationClass
189,t_vendor,CITY,String,0,,ORT01,4,0,1,,0,0,100,,,XTOL_DescriptionName_City
190,t_vendor,COUNTRY,String,0,,LAND1,3,0,1,,0,0,100,,,XTOL_DescriptionName_Country
191,t_vendor,POSTAL_CODE,String,0,,PSTL2,5,0,1,,0,0,35,,,XTOL_DescriptionName_PostalCode
192,t_vendor,REGION,String,0,,REGIO,6,0,1,,0,0,100,,,XTOL_DescriptionName_Region
193,t_vendor,STREET_NUMBER_OR_PO_BOX,String,0,,STRAS,7,0,1,,0,0,100,,,XTOL_DescriptionName_StreetAndNumberOrPostBox
194,t_vendor,VENDOR_ID,String,1,,LIFNR,1,1,0,MASTERDATA,0,1,10,,,XTOL_DescriptionName_Vendor
195,t_vendor,VENDOR_NAME,String,0,,NAME1,2,0,1,,0,0,100,,,XTOL_DescriptionName_VendorName
196,t_work_center,CONTROLLING_AREA_ID,String,0,,KOKRS,1,0,0,,0,1,4,,,XTOL_DescriptionName_ControllingArea
197,t_work_center,COST_CENTER_ID,String,0,,KOSTL,2,0,0,,0,1,10,,,XTOL_DescriptionName_CostCenter
198,t_work_center,EFFICIENCY,DECIMAL,0,,ZGKAL,3,0,1,,0,0,,7,28,XTOL_DescriptionName_Efficiency
199,t_work_center,PLANT_ID,String,1,,WERKS,4,1,0,,0,1,4,,,XTOL_DescriptionName_PlantId
200,t_work_center,WORK_CENTER_CATEGORY,String,0,,VERWE,5,0,0,,0,0,4,,,XTOL_DescriptionName_WorkCenterCategory
201,t_work_center,WORK_CENTER_ID,String,1,,ARBPL,6,1,0,MASTERDATA,0,1,8,,,XTOL_DescriptionName_WorkCenter
202,t_work_center,WORK_CENTER_RESPONSIBLE,String,0,,VERAN,7,0,1,,0,0,3,,,XTOL_DescriptionName_WorkCenterResponsible
203,t_work_center__text,LANGUAGE,String,1,,LANGU,1,1,0,,0,0,11,,,XTOL_DescriptionName_Language
204,t_work_center__text,PLANT_ID,String,1,,WERKS,2,1,0,,0,1,4,,,XTOL_DescriptionName_PlantId
205,t_work_center__text,WORK_CENTER_DESCRIPTION,String,0,,KTEXT,3,0,1,,0,0,250,,,XTOL_DescriptionName_WorkCenterDescription
206,t_work_center__text,WORK_CENTER_ID,String,1,,ARBPL,4,1,0,,0,1,8,,,XTOL_DescriptionName_WorkCenter
207,t_activity_price,VALID_FROM_QUANTITY,DECIMAL,0,,VALID_FROM_QUANTITY,15,1,0,,0,0,,7,28,XTOL_DescriptionName_ValidFromQuantity
