LANGUAGE,TEXTS_MAINTAINABLE,_VALID_FROM,_VALID_TO,_SOURCE,_CREATED_BY,MAPPING_LANGUAGE_ID
KOK-IN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
KO-KR,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
KY,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
KY-KG,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
LB-LU,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
LO-LA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
LT,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,X
LT-LT,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
LV,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,Y
LV-LV,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MI-NZ,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MK,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MK-MK,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
ML-IN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MN-MN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MN-MONG-CN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MOH-CA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MR,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MR-IN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MS,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,7
MS-BN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MS-MY,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
MT-MT,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
NB-NO,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
NE-NP,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
NL,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,N
NL-BE,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
NL-NL,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
NN-NO,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
NO,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,O
NSO-ZA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
OC-FR,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
OR-IN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
PA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
PA-IN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
PL,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,L
PL-PL,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
PRS-AF,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
PS-AF,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
PT,1,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,P
PT-BR,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
PT-PT,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
QUT-GT,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
QUZ-BO,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
QUZ-EC,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
QUZ-PE,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
RM-CH,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
RO,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,4
RO-RO,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
RU,1,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,R
RU-RU,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
RW-RW,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SAH-RU,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SA-IN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SE-FI,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SE-NO,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SE-SE,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SI-LK,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SK,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,Q
SK-SK,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SL,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,5
SL-SI,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SMA-NO,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SMA-SE,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SMJ-NO,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SMJ-SE,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SMN-FI,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SMS-FI,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SQ,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SQ-AL,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SR,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,0
SR-CYRL-BA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SR-LATN-BA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SV,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,V
SV-FI,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SV-SE,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SW,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SW-KE,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SYR,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
SYR-SY,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TA-IN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TE,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TE-IN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TG-CYRL-TJ,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TH,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,2
TH-TH,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TK-TM,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TN-ZA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TR,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,T
TR-TR,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TT,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TT-RU,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
TZM-LATN-DZ,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
UG-CN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
UK,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,8
UK-UA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
UR,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
UR-PK,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
UZ,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
UZ-CYRL-UZ,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
UZ-LATN-UZ,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
VI,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
VI-VN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
WO-SN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
XH-ZA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
YO-NG,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
ZH-CN,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
ZH-HANS,1,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,1
ZH-HANT,1,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,M
ZH-HK,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
ZH-MO,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
ZH-SG,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
ZH-TW,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
ZU-ZA,0,2015-01-01 00:00:00.0000000,,1,#CONTROLLER,
