ITEM_ID,CALCULATION_VERSION_ID,PARENT_ITEM_ID,PREDECESSOR_ITEM_ID,IS_ACTIVE,ITEM_CATEGORY_ID,ACCOUNT_ID,DETERMINED_ACCOUNT_ID,DOCUMENT_TYPE_ID,DOCUMENT_ID,DOCUMENT_VERSION,DOCUMENT_PART,DOCUMENT_STATUS_ID,DESIGN_OFFICE_ID,MATERIAL_ID,MATERIAL_TYPE_ID,MATERIAL_GROUP_ID,OVERHEAD_GROUP_ID,VALUATION_CLASS_ID,ACTIVITY_TYPE_ID,PROCESS_ID,LOT_SIZE,LOT_SIZE_CALCULATED,LOT_SIZE_IS_MANUAL,ENGINEERING_CHANGE_NUMBER_ID,COMPANY_CODE_ID,COST_CENTER_ID,PLANT_ID,WORK_CENTER_ID,BUSINESS_AREA_ID,PROFIT_CENTER_ID,QUANTITY,QUANTITY_CALCULATED,QUANTITY_IS_MANUAL,QUANTITY_UOM_ID,TOTAL_QUANTITY,TOTAL_QUANTITY_UOM_ID,TOTAL_QUANTITY_DEPENDS_ON,IS_RELEVANT_TO_COSTING_IN_ERP,PRICE_FIXED_PORTION,PRICE_FIXED_PORTION_CALCULATED,PRICE_FIXED_PORTION_IS_MANUAL,PRICE_VARIABLE_PORTION,PRICE_VARIABLE_PORTION_CALCULATED,PRICE_VARIABLE_PORTION_IS_MANUAL,PRICE,TRANSACTION_CURRENCY_ID,PRICE_UNIT,PRICE_UNIT_CALCULATED,PRICE_UNIT_IS_MANUAL,PRICE_UNIT_UOM_ID,IS_PRICE_SPLIT_ACTIVE,PRICE_ID,CONFIDENCE_LEVEL_ID,PRICE_SOURCE_ID,VENDOR_ID,TARGET_COST,TARGET_COST_CALCULATED,TARGET_COST_IS_MANUAL,TARGET_COST_CURRENCY_ID,CREATED_ON,CREATED_BY,LAST_MODIFIED_ON,LAST_MODIFIED_BY,PRICE_FOR_TOTAL_QUANTITY,PRICE_FOR_TOTAL_QUANTITY_FIXED_PORTION,PRICE_FOR_TOTAL_QUANTITY_VARIABLE_PORTION,OTHER_COST,OTHER_COST_FIXED_PORTION,OTHER_COST_VARIABLE_PORTION,TOTAL_COST,TOTAL_COST_FIXED_PORTION,TOTAL_COST_VARIABLE_PORTION,HIGHLIGHT_GREEN,HIGHLIGHT_ORANGE,HIGHLIGHT_YELLOW,ITEM_DESCRIPTION,REFERENCED_CALCULATION_VERSION_ID,COMMENT,IS_PHANTOM_MATERIAL,IS_CONFIGURABLE_MATERIAL,MATERIAL_SOURCE,PURCHASING_GROUP,PURCHASING_DOCUMENT,LOCAL_CONTENT,BASE_QUANTITY,BASE_QUANTITY_CALCULATED,BASE_QUANTITY_IS_MANUAL,QUANTITY_PER_BASE_UNIT,QUANTITY_PER_BASE_UNIT_UOM_ID,PRICE_SOURCE_TYPE_ID,IS_DISABLING_PRICE_DETERMINATION,IS_DISABLING_ACCOUNT_DETERMINATION,TOTAL_QUANTITY_OF_VARIANTS,CHILD_ITEM_CATEGORY_ID
4007,1,3998,4008,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,10,,1,MIN,100,MIN,1,,18,,1,36,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,9,3,6,0,0,0,10.8,3.6,7.2,,,,anneal shaft according to work instruction (labor),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4008,1,3998,4009,1,3,#AC21,#AC21,,,,,,,,,,,,#AT1,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,20,,1,MIN,20,MIN,0,,36,,1,6,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,1.4,1.2,0.2,0,0,0,1.68,1.44,0.24,,,,anneal shaft according to work instruction (setup),,,,,,,,,1,,1,20,MIN,2,0,0,0,3
4009,1,3998,4010,1,3,#AC23,#AC23,,,,,,,,,,,,#AT3,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,20,,1,MIN,200,MIN,1,,36,,1,18,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,18,12,5.9999999,0,0,0,21.6,14.4,7.1999999,,,,rough turn shaft according to work instruction (machine),,,,,,,,,1,,1,20,MIN,2,0,0,0,3
4010,1,3998,4011,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,5,,1,MIN,50,MIN,1,,18,,1,36,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,4.5,1.5,3,0,0,0,5.4,1.8,3.6,,,,rough turn shaft according to work instruction (labor),,,,,,,,,1,,1,5,MIN,2,0,0,0,3
4011,1,3998,4012,1,3,#AC21,#AC21,,,,,,,,,,,,#AT1,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,15,,1,MIN,15,MIN,0,,36,,1,6,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,1.05,0.9,0.15,0,0,0,1.26,1.08,0.18,,,,rough turn shaft according to work instruction (setup),,,,,,,,,1,,1,15,MIN,2,0,0,0,3
4012,1,3998,4013,1,3,#AC23,#AC23,,,,,,,,,,,,#AT3,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,10,,1,MIN,100,MIN,1,,36,,1,18,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,9,6,3,0,0,0,10.8,7.2,3.6,,,,cut slug for shaft (machine),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4013,1,3998,4014,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,10,,1,MIN,100,MIN,1,,18,,1,36,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,9,3,6,0,0,0,10.8,3.6,7.2,,,,cut slug for shaft (labor),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4014,1,3998,4015,1,3,#AC21,#AC21,,,,,,,,,,,,#AT1,,,,1,,#C2,#CC3,#PT2,,#BA2,#PC2,10,,1,MIN,10,MIN,0,,36,,1,6,,1,,EUR,10,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,0.7,0.6,0.1,0,0,0,0.84,0.72,0.12,,,,cut slug for shaft (setup),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4015,1,3998,4016,1,5,,,,,,,,,,,,,,,#BP1,,,1,,#C2,,#PT2,,#BA2,#PC2,0.1,,1,PC,1,PC,1,,0,,1,0,,1,,EUR,1,,0,PC,0,,5,PLC_MANUAL_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,1,0.1,PC,3,0,0,0,5
4016,1,3998,,1,2,#AC11,#AC11,,,,,,,#100-310,#RAW,#MECH,,#VC3,,,,,1,,#C2,,#PT2,,#BA2,#PC2,1,,1,PC,10,PC,1,0,0,,1,6,,1,,EUR,10,,0,PC,0,,3,PLC_STANDARD_PRICE,#VD1,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,6,0,6,0,0,0,6.6,0,6.6,,,,,,,0,0,,,,,1,,1,1,PC,1,0,0,0,2
4017,1,3952,4028,1,2,#AC12,#AC12,,,,,,,#100-200,#SEM,#MECH,#OG2,#VC2,,,,,1,,#C1,,#PT1,,#BA1,#PC1,1,,1,PC,10,PC,1,0,0,84.24,0,0,140.8,0,,EUR,1,1,0,PC,0,,,PLC_CALCULATED_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,2250.4,842.4,1408,0,0,0,2250.4,842.4,1408,,,,,,,0,0,,,,,1,,1,1,PC,4,0,0,0,2
4018,1,4017,4019,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,10,,1,MIN,100,MIN,1,,60,,1,120,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,300,100,200,0,0,0,360,120,240,,,,inspect and deliver to storage (labor),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4019,1,4017,4020,1,3,#AC23,#AC23,,,,,,,,,,,,#AT3,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,3,,1,MIN,30,MIN,1,,120,,1,60,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,90,60,30,0,0,0,108,72,36,,,,balance impeller (machine),,,,,,,,,1,,1,3,MIN,2,0,0,0,3
4020,1,4017,4021,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,3,,1,MIN,30,MIN,1,,60,,1,120,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,90,30,60,0,0,0,108,36,72,,,,balance impeller (labor),,,,,,,,,1,,1,3,MIN,2,0,0,0,3
4021,1,4017,4022,1,3,#AC21,#AC21,,,,,,,,,,,,#AT1,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,3,,1,MIN,3,MIN,0,,120,,1,0,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,6,6,0,0,0,0,7.2,7.2,0,,,,balance impeller (setup),,,,,,,,,1,,1,3,MIN,2,0,0,0,3
4022,1,4017,4023,1,3,#AC23,#AC23,,,,,,,,,,,,#AT3,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,10,,1,MIN,100,MIN,1,,120,,1,60,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,300,200,100,0,0,0,360,240,120,,,,turn impeller according to drawing (machine),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4023,1,4017,4024,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,10,,1,MIN,100,MIN,1,,60,,1,120,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,300,100,200,0,0,0,360,120,240,,,,turn impeller according to drawing (labor),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4024,1,4017,4025,1,3,#AC21,#AC21,,,,,,,,,,,,#AT1,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,3,,1,MIN,3,MIN,0,,120,,1,0,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,6,6,0,0,0,0,7.2,7.2,0,,,,clamp impeller (setup),,,,,,,,,1,,1,3,MIN,2,0,0,0,3
4025,1,4017,4026,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,20,,1,MIN,200,MIN,1,,60,,1,120,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,600,200,400,0,0,0,720,240,480,,,,pick according to pick list (labor),,,,,,,,,1,,1,20,MIN,2,0,0,0,3
4026,1,4017,4027,1,5,,,,,,,,,,,,,,,#BP1,,,1,,#C1,,#PT1,,#BA1,#PC1,0.1,,1,PC,1,PC,1,,0,,1,0,,1,,EUR,1,,0,PC,0,,5,PLC_MANUAL_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,1,0.1,PC,3,0,0,0,5
4027,1,4017,,1,2,#AC11,#AC11,,,,,,,#100-210,#RAW,#MECH,#OG3,#VC3,,,,,1,,#C1,,#PT1,,#BA1,#PC1,1,,1,PC,10,PC,1,0,0,,1,20,,1,,EUR,1,,0,PC,0,,3,PLC_STANDARD_PRICE,#VD1,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,200,0,200,0,0,0,220,0,220,,,,,,,0,0,,#PGR1,#PDOC1,60,1,,1,1,PC,1,0,0,0,2
4028,1,3952,4041,1,2,#AC12,#AC12,,,,,,,#100-100,#SEM,#MECH,#OG2,#VC2,,,,,1,,#C1,,#PT1,,#BA1,#PC1,1,,1,PC,10,PC,1,0,,165.12,0,,290,0,,EUR,1,1,0,PC,0,,,PLC_CALCULATED_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,4551.2,1651.2,2900,0,0,0,4551.2,1651.2,2900,,,,,,,0,0,,,,,1,,1,1,PC,4,0,0,0,2
4029,1,4028,4030,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,10,,1,MIN,100,MIN,1,,60,,1,120,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,300,100,200,0,0,0,360,120,240,,,,inspect and deliver to storage (labor),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4030,1,4028,4031,1,2,#AC11,#AC11,,,,,,,#100-130,#RAW,#MECH,#OG3,#VC3,,,,,1,,#C1,,#PT1,,#BA1,#PC1,8,,1,PC,80,PC,1,0,0,,1,10,,1,,EUR,1,,0,PC,0,,3,PLC_STANDARD_PRICE,#VD2,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,800,0,800,0,0,0,880,0,880,,,,,,,0,0,,,,,1,,1,8,PC,1,0,0,0,2
4031,1,4028,4032,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,5,,1,MIN,50,MIN,1,,60,,1,120,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,150,50,100,0,0,0,180,60,120,,,,insert flat seal (labor),,,,,,,,,1,,1,5,MIN,2,0,0,0,3
4032,1,4028,4033,1,2,#AC11,#AC11,,,,,,,#100-120,#RAW,#MECH,#OG3,#VC3,,,,,1,,#C1,,#PT1,,#BA1,#PC1,1,,1,PC,10,PC,1,0,0,,1,10,,1,,EUR,1,,0,PC,0,,3,PLC_STANDARD_PRICE,#VD2,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,100,0,100,0,0,0,110,0,110,,,,,,,0,0,,,,,1,,1,1,PC,1,0,0,0,2
4033,1,4028,4034,1,3,#AC23,#AC23,,,,,,,,,,,,#AT3,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,10,,1,MIN,100,MIN,1,,120,,1,60,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,300,200,100,0,0,0,360,240,120,,,,drill holes (machine),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4034,1,4028,4035,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,10,,1,MIN,100,MIN,1,,60,,1,120,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,300,100,200,0,0,0,360,120,240,,,,drill holes (labor),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
4035,1,4028,4036,1,3,#AC21,#AC21,,,,,,,,,,,,#AT1,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,3,,1,MIN,3,MIN,0,,120,,1,0,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,6,6,0,0,0,0,7.2,7.2,0,,,,drill holes (setup),,,,,,,,,1,,1,3,MIN,2,0,0,0,3
4036,1,4028,4037,1,3,#AC23,#AC23,,,,,,,,,,,,#AT3,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,30,,1,MIN,300,MIN,1,,120,,1,60,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,900,600,300,0,0,0,1080,720,360,,,,turn casing according to drawing (machine),,,,,,,,,1,,1,30,MIN,2,0,0,0,3
4037,1,4028,4038,1,3,#AC22,#AC22,,,,,,,,,,,,#AT2,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,30,,1,MIN,300,MIN,1,,60,,1,120,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,900,300,600,0,0,0,1080,360,720,,,,turn casing according to drawing (labor),,,,,,,,,1,,1,30,MIN,2,0,0,0,3
4038,1,4028,4039,1,3,#AC21,#AC21,,,,,,,,,,,,#AT1,,,,1,,#C1,#CC1,#PT1,,#BA1,#PC1,10,,1,MIN,10,MIN,0,,120,,1,0,,1,,EUR,1,,0,H,0,,3,PLC_STANDARD_PRICE,,,,0,,2017-01-01 09:00:00.0000000,#CONTROLLER,2017-01-01 09:00:00.0000000,#CONTROLLER,20,20,0,0,0,0,24,24,0,,,,turn casing according to drawing (setup),,,,,,,,,1,,1,10,MIN,2,0,0,0,3
