ITEM_ID,CALCULATION_VERSION_ID,COSTING_SHEET_ROW_ID,COSTING_SHEET_OVERHEAD_ROW_ID,ACCOUNT_ID,IS_ROLLED_UP_VALUE,HAS_SUBITEMS,COST,COST_FIXED_PORTION,COST_VARIABLE_PORTION,COST2,COST2_FIXED_PORTION,COST2_VARIABLE_PORTION,COST3,COST3_FIXED_PORTION,COST3_VARIABLE_PORTION
5177,2,COGM,-1,"",1,1,215.6880000,112.4640000,103.2240000,0,0,0,0,0,0
4018,1,COGS,-1,#AC33,0,0,36.0000000,12.0000000,24.0000000,0,0,0,0,0,0
13,4,COGM,-1,#AC11,0,0,10000.0000000,0.0000000,10000.0000000,0,0,0,0,0,0
5177,2,SAO,14,#AC33,0,1,21.5688000,11.2464000,10.3224000,0,0,0,0,0,0
5177,2,SAO,-1,"",1,1,21.5688000,11.2464000,10.3224000,0,0,0,0,0,0
4019,1,DPC,-1,#AC23,0,0,90.0000000,60.0000000,30.0000000,0,0,0,0,0,0
13,4,COGM,-1,#AC31,0,0,1000.0000000,0.0000000,1000.0000000,0,0,0,0,0,0
5177,2,COGS,-1,#AC12,0,1,196.0800000,102.2400000,93.8400000,0,0,0,0,0,0
14,4,DPC,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
4019,1,POC,13,#AC32,0,0,18.0000000,12.0000000,6.0000000,0,0,0,0,0,0
5177,2,COGS,-1,#AC31,0,1,19.6080000,10.2240000,9.3840000,0,0,0,0,0,0
14,4,POC,57,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
4019,1,COGM,-1,#AC23,0,0,90.0000000,60.0000000,30.0000000,0,0,0,0,0,0
5177,2,COGS,-1,#AC33,0,1,21.5688000,11.2464000,10.3224000,0,0,0,0,0,0
14,4,PC,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
4019,1,COGM,-1,#AC32,0,0,18.0000000,12.0000000,6.0000000,0,0,0,0,0,0
5177,2,COGS,-1,"",1,1,237.2568000,123.7104000,113.5464000,0,0,0,0,0,0
14,4,PC,-1,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
4019,1,SAO,14,#AC33,0,0,10.8000000,7.2000000,3.6000000,0,0,0,0,0,0
5178,2,DPC,-1,#AC22,0,0,4.5000000,1.5000000,3.0000000,0,0,0,0,0,0
4019,1,COGS,-1,#AC23,0,0,90.0000000,60.0000000,30.0000000,0,0,0,0,0,0
14,4,COGM,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
5198,2,COGS,-1,#AC23,0,0,90.0000000,60.0000000,30.0000000,0,0,0,0,0,0
3952,1,DMC,-1,#AC13,0,1,7377.2880000,2726.0640000,4651.2240000,0,0,0,0,0,0
5178,2,POC,13,#AC32,0,0,0.9000000,0.3000000,0.6000000,0,0,0,0,0,0
14,4,COGM,-1,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
4019,1,COGS,-1,#AC32,0,0,18.0000000,12.0000000,6.0000000,0,0,0,0,0,0
5178,2,COGM,-1,#AC22,0,0,4.5000000,1.5000000,3.0000000,0,0,0,0,0,0
3952,1,DMC,-1,"",1,1,1206.0000000,0.0000000,1206.0000000,0,0,0,0,0,0
4019,1,COGS,-1,#AC33,0,0,10.8000000,7.2000000,3.6000000,0,0,0,0,0,0
15,4,DPC,-1,#AC22,0,0,15000.0000000,5000.0000000,10000.0000000,0,0,0,0,0,0
5198,2,COGS,-1,#AC32,0,0,18.0000000,12.0000000,6.0000000,0,0,0,0,0,0
5178,2,COGM,-1,#AC32,0,0,0.9000000,0.3000000,0.6000000,0,0,0,0,0,0
3952,1,MOC,-1,"",1,1,140.2080000,10.2240000,129.9840000,0,0,0,0,0,0
4020,1,DPC,-1,#AC22,0,0,90.0000000,30.0000000,60.0000000,0,0,0,0,0,0
15,4,POC,57,#AC32,0,0,3000.0000000,1000.0000000,2000.0000000,0,0,0,0,0,0
5198,2,COGS,-1,#AC33,0,0,10.8000000,7.2000000,3.6000000,0,0,0,0,0,0
5178,2,SAO,14,#AC33,0,0,0.5400000,0.1800000,0.3600000,0,0,0,0,0,0
15,4,PC,-1,#AC22,0,0,15000.0000000,5000.0000000,10000.0000000,0,0,0,0,0,0
4020,1,POC,13,#AC32,0,0,18.0000000,6.0000000,12.0000000,0,0,0,0,0,0
5199,2,DPC,-1,#AC22,0,0,90.0000000,30.0000000,60.0000000,0,0,0,0,0,0
3952,1,DPC,-1,"",1,1,5025.9000000,2263.2000000,2762.7000000,0,0,0,0,0,0
5178,2,COGS,-1,#AC22,0,0,4.5000000,1.5000000,3.0000000,0,0,0,0,0,0
15,4,PC,-1,#AC32,0,0,3000.0000000,1000.0000000,2000.0000000,0,0,0,0,0,0
4020,1,COGM,-1,#AC22,0,0,90.0000000,30.0000000,60.0000000,0,0,0,0,0,0
5199,2,POC,13,#AC32,0,0,18.0000000,6.0000000,12.0000000,0,0,0,0,0,0
5178,2,COGS,-1,#AC32,0,0,0.9000000,0.3000000,0.6000000,0,0,0,0,0,0
15,4,COGM,-1,#AC22,0,0,15000.0000000,5000.0000000,10000.0000000,0,0,0,0,0,0
4020,1,COGM,-1,#AC32,0,0,18.0000000,6.0000000,12.0000000,0,0,0,0,0,0
3952,1,POC,-1,"",1,1,1005.1800000,452.6400000,552.5400000,0,0,0,0,0,0
5199,2,COGM,-1,#AC22,0,0,90.0000000,30.0000000,60.0000000,0,0,0,0,0,0
5178,2,COGS,-1,#AC33,0,0,0.5400000,0.1800000,0.3600000,0,0,0,0,0,0
15,4,COGM,-1,#AC32,0,0,3000.0000000,1000.0000000,2000.0000000,0,0,0,0,0,0
4020,1,SAO,14,#AC33,0,0,10.8000000,3.6000000,7.2000000,0,0,0,0,0,0
5199,2,COGM,-1,#AC32,0,0,18.0000000,6.0000000,12.0000000,0,0,0,0,0,0
5179,2,DPC,-1,#AC23,0,0,9.0000000,6.0000000,3.0000000,0,0,0,0,0,0
3952,1,COGM,-1,#AC13,0,1,7377.2880000,2726.0640000,4651.2240000,0,0,0,0,0,0
16,4,DPC,-1,#AC23,0,0,15000.0000000,10000.0000000,5000.0000000,0,0,0,0,0,0
4020,1,COGS,-1,#AC22,0,0,90.0000000,30.0000000,60.0000000,0,0,0,0,0,0
5199,2,SAO,14,#AC33,0,0,10.8000000,3.6000000,7.2000000,0,0,0,0,0,0
5179,2,POC,13,#AC32,0,0,1.8000000,1.2000000,0.6000000,0,0,0,0,0,0
16,4,POC,57,#AC32,0,0,3000.0000000,2000.0000000,1000.0000000,0,0,0,0,0,0
4020,1,COGS,-1,#AC32,0,0,18.0000000,6.0000000,12.0000000,0,0,0,0,0,0
3952,1,COGM,-1,"",1,1,7377.2880000,2726.0640000,4651.2240000,0,0,0,0,0,0
5199,2,COGS,-1,#AC22,0,0,90.0000000,30.0000000,60.0000000,0,0,0,0,0,0
5179,2,COGM,-1,#AC23,0,0,9.0000000,6.0000000,3.0000000,0,0,0,0,0,0
16,4,PC,-1,#AC23,0,0,15000.0000000,10000.0000000,5000.0000000,0,0,0,0,0,0
4020,1,COGS,-1,#AC33,0,0,10.8000000,3.6000000,7.2000000,0,0,0,0,0,0
5199,2,COGS,-1,#AC32,0,0,18.0000000,6.0000000,12.0000000,0,0,0,0,0,0
5179,2,COGM,-1,#AC32,0,0,1.8000000,1.2000000,0.6000000,0,0,0,0,0,0
3952,1,SAO,14,#AC33,0,1,737.7288000,272.6064000,465.1224000,0,0,0,0,0,0
16,4,PC,-1,#AC32,0,0,3000.0000000,2000.0000000,1000.0000000,0,0,0,0,0,0
4021,1,DPC,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
5179,2,SAO,14,#AC33,0,0,1.0800000,0.7200000,0.3600000,0,0,0,0,0,0
5199,2,COGS,-1,#AC33,0,0,10.8000000,3.6000000,7.2000000,0,0,0,0,0,0
16,4,COGM,-1,#AC23,0,0,15000.0000000,10000.0000000,5000.0000000,0,0,0,0,0,0
3952,1,SAO,-1,"",1,1,737.7288000,272.6064000,465.1224000,0,0,0,0,0,0
4021,1,POC,13,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
5179,2,COGS,-1,#AC23,0,0,9.0000000,6.0000000,3.0000000,0,0,0,0,0,0
5200,2,DPC,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
16,4,COGM,-1,#AC32,0,0,3000.0000000,2000.0000000,1000.0000000,0,0,0,0,0,0
4021,1,COGM,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
3952,1,COGS,-1,#AC13,0,1,7377.2880000,2726.0640000,4651.2240000,0,0,0,0,0,0
5179,2,COGS,-1,#AC32,0,0,1.8000000,1.2000000,0.6000000,0,0,0,0,0,0
17,4,DPC,-1,#AC22,0,0,750.0000000,250.0000000,500.0000000,0,0,0,0,0,0
5200,2,POC,13,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
4021,1,COGM,-1,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
17,4,POC,57,#AC32,0,0,150.0000000,50.0000000,100.0000000,0,0,0,0,0,0
5200,2,COGM,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
5179,2,COGS,-1,#AC33,0,0,1.0800000,0.7200000,0.3600000,0,0,0,0,0,0
3952,1,COGS,-1,#AC33,0,1,737.7288000,272.6064000,465.1224000,0,0,0,0,0,0
17,4,PC,-1,#AC22,0,0,750.0000000,250.0000000,500.0000000,0,0,0,0,0,0
4021,1,SAO,14,#AC33,0,0,0.7200000,0.7200000,0.0000000,0,0,0,0,0,0
5200,2,COGM,-1,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
5180,2,DPC,-1,#AC22,0,0,9.0000000,3.0000000,6.0000000,0,0,0,0,0,0
17,4,PC,-1,#AC32,0,0,150.0000000,50.0000000,100.0000000,0,0,0,0,0,0
4021,1,COGS,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
3952,1,COGS,-1,"",1,1,8115.0168000,2998.6704000,5116.3464000,0,0,0,0,0,0
5200,2,SAO,14,#AC33,0,0,0.7200000,0.7200000,0.0000000,0,0,0,0,0,0
5180,2,POC,13,#AC32,0,0,1.8000000,0.6000000,1.2000000,0,0,0,0,0,0
17,4,COGM,-1,#AC22,0,0,750.0000000,250.0000000,500.0000000,0,0,0,0,0,0
4021,1,COGS,-1,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
5200,2,COGS,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
17,4,COGM,-1,#AC32,0,0,150.0000000,50.0000000,100.0000000,0,0,0,0,0,0
5180,2,COGM,-1,#AC22,0,0,9.0000000,3.0000000,6.0000000,0,0,0,0,0,0
3998,1,DMC,-1,#AC12,0,1,196.0800000,102.2400000,93.8400000,0,0,0,0,0,0
4021,1,COGS,-1,#AC33,0,0,0.7200000,0.7200000,0.0000000,0,0,0,0,0,0
5200,2,COGS,-1,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
1,4,DMC,-1,"",1,1,10000.0000000,0.0000000,10000.0000000,0,0,0,0,0,0
5180,2,COGM,-1,#AC32,0,0,1.8000000,0.6000000,1.2000000,0,0,0,0,0,0
4022,1,DPC,-1,#AC23,0,0,300.0000000,200.0000000,100.0000000,0,0,0,0,0,0
5200,2,COGS,-1,#AC33,0,0,0.7200000,0.7200000,0.0000000,0,0,0,0,0,0
3998,1,DMC,-1,"",1,1,6.0000000,0.0000000,6.0000000,0,0,0,0,0,0
1,4,MOC,-1,"",1,1,1000.0000000,0.0000000,1000.0000000,0,0,0,0,0,0
5180,2,SAO,14,#AC33,0,0,1.0800000,0.3600000,0.7200000,0,0,0,0,0,0
5201,2,DPC,-1,#AC23,0,0,300.0000000,200.0000000,100.0000000,0,0,0,0,0,0
4022,1,POC,13,#AC32,0,0,60.0000000,40.0000000,20.0000000,0,0,0,0,0,0
1,4,MC,-1,"",1,1,11000.0000000,0.0000000,11000.0000000,0,0,0,0,0,0
5180,2,COGS,-1,#AC22,0,0,9.0000000,3.0000000,6.0000000,0,0,0,0,0,0
3998,1,MOC,7,#AC31,0,1,19.6080000,10.2240000,9.3840000,0,0,0,0,0,0
5201,2,POC,13,#AC32,0,0,60.0000000,40.0000000,20.0000000,0,0,0,0,0,0
4022,1,COGM,-1,#AC23,0,0,300.0000000,200.0000000,100.0000000,0,0,0,0,0,0
5180,2,COGS,-1,#AC32,0,0,1.8000000,0.6000000,1.2000000,0,0,0,0,0,0
1,4,DPC,-1,"",1,1,30756.0000000,15256.0000000,15500.0000000,0,0,0,0,0,0
4022,1,COGM,-1,#AC32,0,0,60.0000000,40.0000000,20.0000000,0,0,0,0,0,0
5201,2,COGM,-1,#AC23,0,0,300.0000000,200.0000000,100.0000000,0,0,0,0,0,0
3998,1,MOC,-1,"",1,1,20.2080000,10.2240000,9.9840000,0,0,0,0,0,0
5180,2,COGS,-1,#AC33,0,0,1.0800000,0.3600000,0.7200000,0,0,0,0,0,0
1,4,POC,-1,"",1,1,6151.2000000,3051.2000000,3100.0000000,0,0,0,0,0,0
4022,1,SAO,14,#AC33,0,0,36.0000000,24.0000000,12.0000000,0,0,0,0,0,0
5201,2,COGM,-1,#AC32,0,0,60.0000000,40.0000000,20.0000000,0,0,0,0,0,0
1,4,PC,-1,"",1,1,36907.2000000,18307.2000000,18600.0000000,0,0,0,0,0,0
5181,2,DPC,-1,#AC21,0,0,1.0500000,0.9000000,0.1500000,0,0,0,0,0,0
4022,1,COGS,-1,#AC23,0,0,300.0000000,200.0000000,100.0000000,0,0,0,0,0,0
3998,1,DPC,-1,"",1,1,157.9000000,85.2000000,72.7000000,0,0,0,0,0,0
5201,2,SAO,14,#AC33,0,0,36.0000000,24.0000000,12.0000000,0,0,0,0,0,0
1,4,COGM,-1,"",1,1,47907.2000000,18307.2000000,29600.0000000,0,0,0,0,0,0
5181,2,POC,13,#AC32,0,0,0.2100000,0.1800000,0.0300000,0,0,0,0,0,0
4022,1,COGS,-1,#AC32,0,0,60.0000000,40.0000000,20.0000000,0,0,0,0,0,0
5201,2,COGS,-1,#AC23,0,0,300.0000000,200.0000000,100.0000000,0,0,0,0,0,0
3998,1,POC,-1,"",1,1,31.5800000,17.0400000,14.5400000,0,0,0,0,0,0
5181,2,COGM,-1,#AC21,0,0,1.0500000,0.9000000,0.1500000,0,0,0,0,0,0
1,5,DMC,-1,"",1,1,600.0000000,0.0000000,600.0000000,0,0,0,0,0,0
4022,1,COGS,-1,#AC33,0,0,36.0000000,24.0000000,12.0000000,0,0,0,0,0,0
5201,2,COGS,-1,#AC32,0,0,60.0000000,40.0000000,20.0000000,0,0,0,0,0,0
5181,2,COGM,-1,#AC32,0,0,0.2100000,0.1800000,0.0300000,0,0,0,0,0,0
1,5,MOC,-1,"",1,1,60.0000000,0.0000000,60.0000000,0,0,0,0,0,0
5201,2,COGS,-1,#AC33,0,0,36.0000000,24.0000000,12.0000000,0,0,0,0,0,0
4023,1,DPC,-1,#AC22,0,0,300.0000000,100.0000000,200.0000000,0,0,0,0,0,0
3998,1,COGM,-1,#AC12,0,1,196.0800000,102.2400000,93.8400000,0,0,0,0,0,0
5181,2,SAO,14,#AC33,0,0,0.1260000,0.1080000,0.0180000,0,0,0,0,0,0
5202,2,DPC,-1,#AC22,0,0,300.0000000,100.0000000,200.0000000,0,0,0,0,0,0
4023,1,POC,13,#AC32,0,0,60.0000000,20.0000000,40.0000000,0,0,0,0,0,0
1,5,MC,-1,"",1,1,660.0000000,0.0000000,660.0000000,0,0,0,0,0,0
5181,2,COGS,-1,#AC21,0,0,1.0500000,0.9000000,0.1500000,0,0,0,0,0,0
5202,2,POC,13,#AC32,0,0,60.0000000,20.0000000,40.0000000,0,0,0,0,0,0
4023,1,COGM,-1,#AC22,0,0,300.0000000,100.0000000,200.0000000,0,0,0,0,0,0
1,5,DPC,-1,"",1,1,1870.4500000,960.1500000,910.3000000,0,0,0,0,0,0
5181,2,COGS,-1,#AC32,0,0,0.2100000,0.1800000,0.0300000,0,0,0,0,0,0
5202,2,COGM,-1,#AC22,0,0,300.0000000,100.0000000,200.0000000,0,0,0,0,0,0
4023,1,COGM,-1,#AC32,0,0,60.0000000,20.0000000,40.0000000,0,0,0,0,0,0
1,5,POC,-1,"",1,1,374.0900000,192.0300000,182.0600000,0,0,0,0,0,0
5202,2,COGM,-1,#AC32,0,0,60.0000000,20.0000000,40.0000000,0,0,0,0,0,0
4023,1,SAO,14,#AC33,0,0,36.0000000,12.0000000,24.0000000,0,0,0,0,0,0
1,5,PC,-1,"",1,1,2244.5400000,1152.1800000,1092.3600000,0,0,0,0,0,0
5181,2,COGS,-1,#AC33,0,0,0.1260000,0.1080000,0.0180000,0,0,0,0,0,0
5202,2,SAO,14,#AC33,0,0,36.0000000,12.0000000,24.0000000,0,0,0,0,0,0
1,5,COGM,-1,"",1,1,2904.5400000,1152.1800000,1752.3600000,0,0,0,0,0,0
4023,1,COGS,-1,#AC22,0,0,300.0000000,100.0000000,200.0000000,0,0,0,0,0,0
3998,1,COGM,-1,#AC31,0,1,19.6080000,10.2240000,9.3840000,0,0,0,0,0,0
5182,2,DPC,-1,#AC23,0,0,27.0000000,18.0000000,9.0000000,0,0,0,0,0,0
21,5,DMC,-1,#AC11,0,0,600.0000000,0.0000000,600.0000000,0,0,0,0,0,0
5202,2,COGS,-1,#AC22,0,0,300.0000000,100.0000000,200.0000000,0,0,0,0,0,0
4023,1,COGS,-1,#AC32,0,0,60.0000000,20.0000000,40.0000000,0,0,0,0,0,0
3998,1,COGM,-1,"",1,1,215.6880000,112.4640000,103.2240000,0,0,0,0,0,0
5182,2,POC,13,#AC32,0,0,5.4000000,3.6000000,1.8000000,0,0,0,0,0,0
4023,1,COGS,-1,#AC33,0,0,36.0000000,12.0000000,24.0000000,0,0,0,0,0,0
21,5,MOC,55,#AC31,0,0,60.0000000,0.0000000,60.0000000,0,0,0,0,0,0
5202,2,COGS,-1,#AC32,0,0,60.0000000,20.0000000,40.0000000,0,0,0,0,0,0
3998,1,SAO,14,#AC33,0,1,21.5688000,11.2464000,10.3224000,0,0,0,0,0,0
5182,2,COGM,-1,#AC23,0,0,27.0000000,18.0000000,9.0000000,0,0,0,0,0,0
4024,1,DPC,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
5202,2,COGS,-1,#AC33,0,0,36.0000000,12.0000000,24.0000000,0,0,0,0,0,0
21,5,MC,-1,#AC11,0,0,600.0000000,0.0000000,600.0000000,0,0,0,0,0,0
3998,1,SAO,-1,"",1,1,21.5688000,11.2464000,10.3224000,0,0,0,0,0,0
5182,2,COGM,-1,#AC32,0,0,5.4000000,3.6000000,1.8000000,0,0,0,0,0,0
4024,1,POC,13,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
5203,2,DPC,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
21,5,MC,-1,#AC31,0,0,60.0000000,0.0000000,60.0000000,0,0,0,0,0,0
3998,1,COGS,-1,#AC12,0,1,196.0800000,102.2400000,93.8400000,0,0,0,0,0,0
5182,2,SAO,14,#AC33,0,0,3.2400000,2.1600000,1.0800000,0,0,0,0,0,0
4024,1,COGM,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
5203,2,POC,13,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
3998,1,COGS,-1,#AC31,0,1,19.6080000,10.2240000,9.3840000,0,0,0,0,0,0
21,5,COGM,-1,#AC11,0,0,600.0000000,0.0000000,600.0000000,0,0,0,0,0,0
5182,2,COGS,-1,#AC23,0,0,27.0000000,18.0000000,9.0000000,0,0,0,0,0,0
4024,1,COGM,-1,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
5203,2,COGM,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
3998,1,COGS,-1,#AC33,0,1,21.5688000,11.2464000,10.3224000,0,0,0,0,0,0
5182,2,COGS,-1,#AC32,0,0,5.4000000,3.6000000,1.8000000,0,0,0,0,0,0
5203,2,COGM,-1,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
21,5,COGM,-1,#AC31,0,0,60.0000000,0.0000000,60.0000000,0,0,0,0,0,0
4024,1,SAO,14,#AC33,0,0,0.7200000,0.7200000,0.0000000,0,0,0,0,0,0
3998,1,COGS,-1,"",1,1,237.2568000,123.7104000,113.5464000,0,0,0,0,0,0
5182,2,COGS,-1,#AC33,0,0,3.2400000,2.1600000,1.0800000,0,0,0,0,0,0
5203,2,SAO,14,#AC33,0,0,0.7200000,0.7200000,0.0000000,0,0,0,0,0,0
4024,1,COGS,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
22,5,DPC,-1,#AC21,0,0,70.0000000,60.0000000,10.0000000,0,0,0,0,0,0
5203,2,COGS,-1,#AC21,0,0,6.0000000,6.0000000,0.0000000,0,0,0,0,0,0
5183,2,DPC,-1,#AC22,0,0,27.0000000,9.0000000,18.0000000,0,0,0,0,0,0
4024,1,COGS,-1,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
3999,1,DPC,-1,#AC22,0,0,4.5000000,1.5000000,3.0000000,0,0,0,0,0,0
22,5,POC,57,#AC32,0,0,14.0000000,12.0000000,2.0000000,0,0,0,0,0,0
5203,2,COGS,-1,#AC32,0,0,1.2000000,1.2000000,0.0000000,0,0,0,0,0,0
5183,2,POC,13,#AC32,0,0,5.4000000,1.8000000,3.6000000,0,0,0,0,0,0
4024,1,COGS,-1,#AC33,0,0,0.7200000,0.7200000,0.0000000,0,0,0,0,0,0
3999,1,POC,13,#AC32,0,0,0.9000000,0.3000000,0.6000000,0,0,0,0,0,0
22,5,PC,-1,#AC21,0,0,70.0000000,60.0000000,10.0000000,0,0,0,0,0,0
5203,2,COGS,-1,#AC33,0,0,0.7200000,0.7200000,0.0000000,0,0,0,0,0,0
5183,2,COGM,-1,#AC22,0,0,27.0000000,9.0000000,18.0000000,0,0,0,0,0,0
4025,1,DPC,-1,#AC22,0,0,600.0000000,200.0000000,400.0000000,0,0,0,0,0,0
3999,1,COGM,-1,#AC22,0,0,4.5000000,1.5000000,3.0000000,0,0,0,0,0,0
22,5,PC,-1,#AC32,0,0,14.0000000,12.0000000,2.0000000,0,0,0,0,0,0
5204,2,DPC,-1,#AC22,0,0,600.0000000,200.0000000,400.0000000,0,0,0,0,0,0
5183,2,COGM,-1,#AC32,0,0,5.4000000,1.8000000,3.6000000,0,0,0,0,0,0
4025,1,POC,13,#AC32,0,0,120.0000000,40.0000000,80.0000000,0,0,0,0,0,0
3999,1,COGM,-1,#AC32,0,0,0.9000000,0.3000000,0.6000000,0,0,0,0,0,0
5204,2,POC,13,#AC32,0,0,120.0000000,40.0000000,80.0000000,0,0,0,0,0,0
22,5,COGM,-1,#AC21,0,0,70.0000000,60.0000000,10.0000000,0,0,0,0,0,0
5183,2,SAO,14,#AC33,0,0,3.2400000,1.0800000,2.1600000,0,0,0,0,0,0
4025,1,COGM,-1,#AC22,0,0,600.0000000,200.0000000,400.0000000,0,0,0,0,0,0
3999,1,SAO,14,#AC33,0,0,0.5400000,0.1800000,0.3600000,0,0,0,0,0,0
5204,2,COGM,-1,#AC22,0,0,600.0000000,200.0000000,400.0000000,0,0,0,0,0,0
22,5,COGM,-1,#AC32,0,0,14.0000000,12.0000000,2.0000000,0,0,0,0,0,0
5183,2,COGS,-1,#AC22,0,0,27.0000000,9.0000000,18.0000000,0,0,0,0,0,0
3999,1,COGS,-1,#AC22,0,0,4.5000000,1.5000000,3.0000000,0,0,0,0,0,0
4025,1,COGM,-1,#AC32,0,0,120.0000000,40.0000000,80.0000000,0,0,0,0,0,0
5204,2,COGM,-1,#AC32,0,0,120.0000000,40.0000000,80.0000000,0,0,0,0,0,0
23,5,DPC,-1,#AC22,0,0,900.0000000,300.0000000,600.0000000,0,0,0,0,0,0
3999,1,COGS,-1,#AC32,0,0,0.9000000,0.3000000,0.6000000,0,0,0,0,0,0
5183,2,COGS,-1,#AC32,0,0,5.4000000,1.8000000,3.6000000,0,0,0,0,0,0
4025,1,SAO,14,#AC33,0,0,72.0000000,24.0000000,48.0000000,0,0,0,0,0,0
5204,2,SAO,14,#AC33,0,0,72.0000000,24.0000000,48.0000000,0,0,0,0,0,0
23,5,POC,57,#AC32,0,0,180.0000000,60.0000000,120.0000000,0,0,0,0,0,0
3999,1,COGS,-1,#AC33,0,0,0.5400000,0.1800000,0.3600000,0,0,0,0,0,0
5204,2,COGS,-1,#AC22,0,0,600.0000000,200.0000000,400.0000000,0,0,0,0,0,0
5183,2,COGS,-1,#AC33,0,0,3.2400000,1.0800000,2.1600000,0,0,0,0,0,0
4025,1,COGS,-1,#AC22,0,0,600.0000000,200.0000000,400.0000000,0,0,0,0,0,0
23,5,PC,-1,#AC22,0,0,900.0000000,300.0000000,600.0000000,0,0,0,0,0,0
