PATH,BUSINESS_OBJECT,COLUMN_ID,IS_CUSTOM,ROLLUP_TYPE_ID,SIDE_PANEL_GROUP_ID,DISPLAY_ORDER,TABLE_DISPLAY_ORDER,REF_UOM_CURRENCY_PATH,REF_UOM_CURRENCY_BUSINESS_OBJECT,REF_UOM_CURRENCY_COLUMN_ID,UOM_CURRENCY_FLAG,SEMANTIC_DATA_TYPE,SEMANTIC_DATA_TYPE_ATTRIBUTES,VALIDATION_REGEX_ID,PROPERTY_TYPE,IS_IMMUTABLE_AFTER_SAVE,IS_REQUIRED_IN_MASTERDATA,IS_WILDCARD_ALLOWED,IS_USABLE_IN_FORMULA,RESOURCE_KEY_DISPLAY_NAME,RESOURCE_KEY_DISPLAY_DESCRIPTION,CREATED_ON,CREATED_BY,LAST_MODIFIED_ON,LAST_MODIFIED_BY
Item.Referenced_Calculation_Version.Root_Item.Material_Group,Material_Group,MATERIAL_GROUP_DESCRIPTION,0,0,110,54,,,,,,String,length=250,,3,,,,,,,,,,
Item.Referenced_Calculation_Version.Root_Item,Item,IS_PHANTOM_MATERIAL,0,0,110,55,,,,,,BooleanInt,,,5,,,,,XFLD_SidePanel_DisplayName_IsPhantomMaterial,XTOL_SidePanel_DescriptionName_IsPhantomMaterial,,,,
Item.Referenced_Calculation_Version.Root_Item,Item,IS_CONFIGURABLE_MATERIAL,0,0,110,56,,,,,,BooleanInt,,,5,,,,,XFLD_SidePanel_DisplayName_IsConfigurableMaterial,XTOL_SidePanel_DescriptionName_IsConfigurableMaterial,,,,
Item.Referenced_Calculation_Version.Root_Item,Item,IS_RELEVANT_TO_COSTING_IN_ERP,0,0,110,57,,,,,,BooleanInt,,,5,,,,,XFLD_SidePanel_DisplayName_IsRelevantToCostingInSapErp,XTOL_SidePanel_DescriptionName_IsRelevantToCostingInSapErp,,,,
Item.Referenced_Calculation_Version.Root_Item.Valuation_Class,Valuation_Class,VALUATION_CLASS_ID,0,0,110,59,,,,,,String,length=4; uppercase=1,MASTERDATA,8,,1,,,XFLD_SidePanel_DisplayName_ValuationClass,XTOL_SidePanel_DescriptionName_ValuationClass,,,,
Item.Referenced_Calculation_Version.Root_Item.Valuation_Class,Valuation_Class,VALUATION_CLASS_DESCRIPTION,0,0,110,59,,,,,,String,length=250,,3,,,,,,,,,,
Item.Referenced_Calculation_Version.Root_Item.Vendor,Vendor,VENDOR_ID,0,0,102,56,,,,,,String,length=10; uppercase=1,MASTERDATA,8,,,,,XFLD_SidePanel_DisplayName_Vendor,XTOL_SidePanel_DescriptionName_Vendor,,,,
Item.Referenced_Calculation_Version.Root_Item.Vendor,Vendor,VENDOR_NAME,0,0,102,56,,,,,,String,length=100,,3,,,,,XFLD_SidePanel_DisplayName_VendorName,XFLD_SidePanel_DisplayName_VendorName,,,,
Item,Item,ITEM_ID,0,0,101,2,,,,,,Integer,,,3,,,,1,XFLD_SidePanel_DisplayName_ItemId,XTOL_SidePanel_DescriptionName_ItemId,,,,
Item,Item,CALCULATION_VERSION_ID,0,0,,,,,,,,Integer,,,,,,,,,,,,,
Item.Calculation_Version,Calculation_Version,CALCULATION_VERSION_ID,0,0,,,,,,,,PositiveInteger,,,,,,,,,,,,,
Item,Item,PARENT_ITEM_ID,0,0,,,,,,,,Integer,,,,,,,,,,,,,
Item,Item,PREDECESSOR_ITEM_ID,0,0,,,,,,,,Integer,,,,,,,,,,,,,
Item,Item,IS_ACTIVE,0,0,,,,,,,,BooleanInt,,,5,,,,1,XFLD_SidePanel_DisplayName_IsActive,XTOL_SidePanel_DescriptionName_IsActive,,,,
Item,Item,HIGHLIGHT_YELLOW,0,0,114,1,,,,,,BooleanInt,,,20,,,,1,XCKL_HighlightYellow,XTOL_XCKL_HighlightYellow,,,,
Item,Item,HIGHLIGHT_GREEN,0,0,114,2,,,,,,BooleanInt,,,20,,,,1,XCKL_HighlightGreen,XTOL_XCKL_HighlightGreen,,,,
Item,Item,HIGHLIGHT_ORANGE,0,0,114,3,,,,,,BooleanInt,,,20,,,,1,XCKL_HighlightOrange,XTOL_XCKL_HighlightOrange,,,,
Item,Item,STATUS,0,0,,,,,,,,PositiveInteger,,,14,,,,,,,,,,
Item,Item,ITEM_CATEGORY_ID,0,0,,,,,,,,PositiveInteger,,,9,,,,,,,,,,
Item,Item,ITEM_DESCRIPTION,0,0,101,4,,,,,,String,length=250,,3,,,,1,XFLD_SidePanel_DisplayName_ItemDescription,XTOL_SidePanel_DescriptionName_ItemDescription,,,,
Item,Item,DOCUMENT_TYPE_ID,0,0,,,,,,,,String,length=3; uppercase=1,ITEM,,,1,,,,,,,,
Document_Type,Document_Type,DOCUMENT_TYPE_ID,0,0,,,,,,,,String,length=3; uppercase=1,MASTERDATA,,,1,,1,XFLD_SidePanel_DisplayName_DocumentType,XTOL_SidePanel_DescriptionName_DocumentType,,,,
Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID,0,0,109,5,,,,,,String,length=3; uppercase=1,MASTERDATA,8,,1,,1,XFLD_SidePanel_DisplayName_DocumentType,XTOL_SidePanel_DescriptionName_DocumentType,,,,
Item.Document_Type,Document_Type,DOCUMENT_TYPE_DESCRIPTION,0,0,109,5,,,,,,String,length=250,,3,,,,,,,,,,
Calculation_Version.Root_Item.Document_Type,Document_Type,DOCUMENT_TYPE_ID,0,0,,,,,,,,String,length=3; uppercase=1,MASTERDATA,,,1,,1,XFLD_SidePanel_DisplayName_DocumentType,XTOL_SidePanel_DescriptionName_DocumentType,,,,
Item,Item,DOCUMENT_ID,0,0,,,,,,,,String,length=40; uppercase=1,ITEM,,,,,,,,,,,
Item.Document,Document,DOCUMENT_ID,0,0,109,6,,,,,,String,length=40; uppercase=1,MASTERDATA,8,,,,1,XFLD_SidePanel_DisplayName_Document,XTOL_SidePanel_DescriptionName_Document,,,,
Item.Document,Document,DOCUMENT_DESCRIPTION,0,0,109,6,,,,,,String,length=250,,3,,,,,,,,,,
Calculation_Version.Root_Item.Document,Document,DOCUMENT_ID,0,0,,,,,,,,String,length=40; uppercase=1,MASTERDATA,,,,,1,XFLD_SidePanel_DisplayName_Document,XTOL_SidePanel_DescriptionName_Document,,,,
Item,Item,DOCUMENT_VERSION,0,0,109,8,,,,,,String,length=2,,3,,,,1,XFLD_SidePanel_DisplayName_DocumentVersion,XTOL_SidePanel_DescriptionName_DocumentVersion,,,,
Item.Document,Document,DOCUMENT_VERSION,0,0,,,,,,,,String,length=2,,,,,,,,,,,,
Calculation_Version.Root_Item.Document,Document,DOCUMENT_VERSION,0,0,,,,,,,,String,length=2,,,,,,1,XFLD_SidePanel_DisplayName_DocumentVersion,XTOL_SidePanel_DescriptionName_DocumentVersion,,,,
Item,Item,DOCUMENT_PART,0,0,109,7,,,,,,String,length=3,,3,,,,1,XFLD_SidePanel_DisplayName_DocumentPart,XTOL_SidePanel_DescriptionName_DocumentPart,,,,
Item.Document,Document,DOCUMENT_PART,0,0,,,,,,,,String,length=3,,,,,,,,,,,,
Calculation_Version.Root_Item.Document,Document,DOCUMENT_PART,0,0,,,,,,,,String,length=3,,,,,,1,XFLD_SidePanel_DisplayName_DocumentPart,XTOL_SidePanel_DescriptionName_DocumentPart,,,,
Item,Item,DOCUMENT_STATUS_ID,0,0,,,,,,,,String,length=2; uppercase=1,ITEM,,,1,,,,,,,,
Item.Document_Status,Document_Status,DOCUMENT_STATUS_ID,0,0,109,9,,,,,,String,length=2; uppercase=1,MASTERDATA,8,,1,,1,XFLD_SidePanel_DisplayName_DocumentStatus,XTOL_SidePanel_DescriptionName_DocumentStatus,,,,
Item.Document_Status,Document_Status,DOCUMENT_STATUS_DESCRIPTION,0,0,109,9,,,,,,String,length=250,,3,,,,,,,,,,
Item,Item,DESIGN_OFFICE_ID,0,0,,,,,,,,String,length=3,ITEM,,,,,,,,,,,
Item.Design_Office,Design_Office,DESIGN_OFFICE_ID,0,0,109,10,,,,,,String,length=3,MASTERDATA,8,,,,1,XFLD_SidePanel_DisplayName_LaboratoryDesignOffice,XTOL_SidePanel_DescriptionName_LaboratoryDesignOffice,,,,
Item.Design_Office,Design_Office,DESIGN_OFFICE_DESCRIPTION,0,0,109,10,,,,,,String,length=250,,3,,,,,,,,,,
Item,Item,MATERIAL_ID,0,0,,,,,,,,String,length=40; uppercase=1,ITEM,,,,,,,,,,,
Item.Material,Material,MATERIAL_ID,0,0,110,11,,,,,,String,length=40; uppercase=1,MASTERDATA,8,,,,1,XFLD_SidePanel_DisplayName_MaterialId,XTOL_SidePanel_DescriptionName_MaterialId,,,,
Item.Material,Material,MATERIAL_DESCRIPTION,0,0,110,11,,,,,,String,length=250,,3,,,,,XFLD_SidePanel_DisplayName_MaterialDescription,XFLD_SidePanel_DisplayName_MaterialDescription,,,,
Calculation_Version.Root_Item.Material,Material,MATERIAL_ID,0,0,,,,,,,,String,length=40; uppercase=1,MASTERDATA,,,,,1,XFLD_SidePanel_DisplayName_MaterialId,XTOL_SidePanel_DescriptionName_MaterialId,,,,
Item.Material,Material,_SOURCE,0,0,110,12,,,,,,Integer,,,18,,,,,XFLD_SidePanel_DisplayName_MaterialSource,XTOL_SidePanel_DescriptionName_MaterialSource,,,,
Item,Item,IS_PHANTOM_MATERIAL,0,0,110,23,,,,,,BooleanInt,,,5,,,,1,XFLD_SidePanel_DisplayName_IsPhantomMaterial,XTOL_SidePanel_DescriptionName_IsPhantomMaterial,,,,
Item,Item,IS_CONFIGURABLE_MATERIAL,0,0,110,24,,,,,,BooleanInt,,,5,,,,1,XFLD_SidePanel_DisplayName_IsConfigurableMaterial,XTOL_SidePanel_DescriptionName_IsConfigurableMaterial,,,,
Item,Item,IS_RELEVANT_TO_COSTING_IN_ERP,0,0,110,25,,,,,,BooleanInt,,,5,,,,,XFLD_SidePanel_DisplayName_IsRelevantToCostingInSapErp,XTOL_SidePanel_DescriptionName_IsRelevantToCostingInSapErp,,,,
Item,Item,WORK_CENTER_ID,0,0,,,,,,,,String,length=15; uppercase=1,ITEM,,,,,,,,,,,
Item,Item,COST_CENTER_ID,0,0,,,,,,,,String,length=10; uppercase=1,ITEM,,,,,,,,,,,
